long_drug,cas_no,db_name,dbid,ind,doid,ind_type,long_ind
Coagulation Factor VIIa (Recombinant),102786-61-8,Coagulation factor VIIa Recombinant Human,DB00036,intracranial hemorrhage,,repositioned,Treatment of bleeding in patients experiencing intracranial hemorrhage.
Colchicine,64-86-8,Colchicine,DB01394,gout,doid:13189,original,It is indicated for gout flares.
Colchicine,64-86-8,Colchicine,DB01394,brucellosis,doid:11077,original,Treatment of Familial Mediterranean fever in adults and children 4 years or older.
Colchicine,64-86-8,Colchicine,DB01394,Behcet's disease,doid:13241,repositioned,Treatment of Behcet's Syndrome
Collagenase (lyophilized) for injection,9001-12-1,Collagenase clostridium histolyticum,DB00048,**debriding**,,original,Collagenase Santyl© Ointment is indicated for debriding chronic dermal ulcers and severely burned areas.
Collagenase (lyophilized) for injection,9001-12-1,Collagenase clostridium histolyticum,DB00048,Peyronie's disease,doid:8616,repositioned,Treatment of Peyronie's disease. 
Cyclosporine,59865-13-3,Cyclosporine,DB00091,rheumatoid arthritis,doid:7148,original,"1. Treatment of patients with severe active, rheumatoid arthritis where the disease has not adequately responded to methotrexate. It can be used in combination with methotrexate in rheumatoid arthritis patients who do not respond adequately to methotrexate alone. 2 It is also indicated for the treatment of adult, nonimmunocompromised patients with severe (i.e., extensive and/or disabling), recalcitrant, plaque psoriasis who have failed to respond to at least one systemic therapy (eg., PUVA, retinoids, or methotrexate) or in patients for whom other systemic therapies are contraindicated, or cannot be tolerated."
Cyclosporine,59865-13-3,Cyclosporine,DB00091,psoriasis,doid:8893,original,"1. Treatment of patients with severe active, rheumatoid arthritis where the disease has not adequately responded to methotrexate. It can be used in combination with methotrexate in rheumatoid arthritis patients who do not respond adequately to methotrexate alone. 2 It is also indicated for the treatment of adult, nonimmunocompromised patients with severe (i.e., extensive and/or disabling), recalcitrant, plaque psoriasis who have failed to respond to at least one systemic therapy (eg., PUVA, retinoids, or methotrexate) or in patients for whom other systemic therapies are contraindicated, or cannot be tolerated."
Cyclosporine,59865-13-3,Cyclosporine,DB00091,Transplant Rejection,,original,"Prophylaxis of organ rejection in kidney, liver, and heart allogeneic transplants. It is always to be used with adrenal corticosteroids. The drug may also be used in the treatment of chronic rejection in patients previously treated with other immunosuppressive agents.   "
Cyclosporine,59865-13-3,Cyclosporine,DB00091,Transplant Rejection,,repositioned,Prevention of corneal graft rejection
Cyclosporine,59865-13-3,Cyclosporine,DB00091,amyotrophic lateral sclerosis,doid:332,repositioned,Treatment of amyotrophic lateral sclerosis and its variants
Cyclosporine,59865-13-3,Cyclosporine,DB00091,herpes simplex virus keratitis,doid:0080158,repositioned,Treatment of herpes simplex virus stromal keratitis
Cyclosporine,59865-13-3,Cyclosporine,DB00091,keratoconjunctivitis,doid:9368,repositioned,Treatment of vernal keratoconjunctivitis
Cyclosporine 2% ophthalmic ointment,59865-13-3,Cyclosporine,DB00091,keratoconjunctivitis sicca,doid:12895,original,Increase tear production in patients whose tear production is presumed to be suppressed due to ocular inflammation associated with deratoconjunctivites sicca.
Cyclosporine 2% ophthalmic ointment,59865-13-3,Cyclosporine,DB00091,keratoconjunctivitis sicca,doid:12895,repositioned,Treatment of severe keratoconjunctivitis sicca associated with Sjogren's syndrome.
Cysteamine hydrochloride,60-23-1,Cysteamine,DB00847,Fanconi syndrome,doid:1062,original,Treatment of nephropathic cystinosis in adults and children. 
Cysteamine hydrochloride,60-23-1,Cysteamine,DB00847,Huntington's disease,doid:12858,repositioned,Treatment of Huntington's disease
Cysteamine hydrochloride,60-23-1,Cysteamine,DB00847,cystinosis,doid:1064,repositioned,Treatment of corneal cystine crystal accumulation in cystinosis patients.
Cysteamine hydrochloride,60-23-1,Cysteamine,DB00847,neuronal ceroid lipofuscinosis,doid:14503,repositioned,Treatment of neuronal ceroid lipofuscinoses (Batten disease)
Cytarabine,147-94-4,Cytarabine,DB00987,myeloid leukemia,doid:8692,original,Cytarabine in combination with other approved anticancer drugs is indicated for remission induction in acute non-lymphocytic leukemia of adults and children. It has also been found useful in the treatment of acute lymphocytic leukemia and the blast phase of chronic myelocytic leukemia. 
Cytarabine,147-94-4,Cytarabine,DB00987,adult acute lymphocytic leukemia,doid:5604,original,Cytarabine in combination with other approved anticancer drugs is indicated for remission induction in acute non-lymphocytic leukemia of adults and children. It has also been found useful in the treatment of acute lymphocytic leukemia and the blast phase of chronic myelocytic leukemia. 
Cytarabine,147-94-4,Cytarabine,DB00987,lymphomatous meningitis,,original,Intrathecal treatment of lymphomatous meningitis. 
Cytarabine,147-94-4,Cytarabine,DB00987,malignant glioma,doid:3070,repositioned,Treatment of gliomas
Cytomegalovirus immunoglobulin intravenous (human),,,,CMV,,original,"#1) Attenuation of primary CMV disease associated with kidney transplant recipients who are seronegative for CMV and who receive a kidney from a CMV seropositve donor; #2)  Prophylaxis of CMV disease associated transplantation of kidney (all other), lung,"
Cytomegalovirus immunoglobulin intravenous (human),,,,CMV,,repositioned,For use in conjunction with ganciclovir sodium for the treatment of cytomegalovirus pneumonia in bone marrow transplant patients.
Dapoxetine,119356-77-3,Dapoxetine,DB04884,**Analgesic**,,original,Analgesia and depression
Dapoxetine,119356-77-3,Dapoxetine,DB04884,mental depression,doid:1596,original,Analgesia and depression
Dapoxetine,119356-77-3,Dapoxetine,DB04884,premature ejaculation,doid:13709,repositioned,Premature ejaculation
Dapsone,80-08-0,Dapsone,DB00250,acne,doid:6543,original,Aczone (dapsone) Gel is indicated for the topical treatment of acne vulgaris.
Dapsone,80-08-0,Dapsone,DB00250,dermatitis herpetiformis,doid:8505,original,To control the dermatologic symptoms of Dermatitis herpetiformis. Dapsone is used alone or in combination with other anti-leprosy drugs for leprosy. 
Dapsone,80-08-0,Dapsone,DB00250,pneumocystosis,doid:11339,repositioned,For the combination treatment of Pneumocystis carinii pneumonia in conjunction with trimethoprim.
Dapsone,80-08-0,Dapsone,DB00250,toxoplasmosis,doid:9965,repositioned,Prophylaxis of toxoplasmosis in severely immunocompromised patients with CD4 counts below 100.
Daunorubicin liposomal,20830-81-3,Daunorubicin,DB00694,Kaposi's sarcoma,doid:8632,original,"DaunoXome (daunorubicin citrate)  injection, lipid complex  is indicated as a first line cytotoxic therapy for advanced HIV-associated Kaposi's sarcoma. "
Daunorubicin liposomal,20830-81-3,Daunorubicin,DB00694,myeloid leukemia,doid:8692,original,"Daunorubicin hydrochloride in combination with other approved anticancer drugs is indicated for remission induction in acute nonlymphocytic leukemia (myelogenous, monocytic, erythroid) of adults and for remission induction in acute lymphocytic leukemia of children and adults"
Daunorubicin liposomal,20830-81-3,Daunorubicin,DB00694,acute myeloid leukemia,doid:9119,repositioned,Treatment of acute myeloid leukemia
Decitabine,2353-33-5,Decitabine,DB01262,myelodysplastic syndrome,doid:0050908,original,"For treatment of patients with myelodysplastic syndromes (MDS) including previously treated and untreated, de novo and secondary MDS of all French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia."
Decitabine,2353-33-5,Decitabine,DB01262,leukemia,doid:1240,repositioned,Treatment of acute leukemia.
Decitabine,2353-33-5,Decitabine,DB01262,myeloid leukemia,doid:8692,repositioned,Treatment of acute myeloid leukemia
Decitabine,2353-33-5,Decitabine,DB01262,chronic myeloid leukemia,doid:8552,repositioned,Treatment of chronic myelogenous leukemia.  
Decitabine,2353-33-5,Decitabine,DB01262,sickle cell anemia,doid:10923,repositioned,Treatment of sickle cell anemia
Dexamethasone intravitreal implant,50-02-2,Dexamethasone,DB01234,panuveitis,doid:12030,repositioned,"Treatment of non-infectious ocular inflammation of the posterior segment in patients with intermediate, posterior, and panuveitis. "
Dexamethasone phosphate,50-02-2,Dexamethasone,DB01234,conjunctivitis,doid:6195,original,"DEXAMETHASONE SODIUM PHOSPHATE solution/ drop is indicated for the treatment of the following conditions: 1. Ophthalmic - Steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe such as allergic conjunctivitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, selected infective conjunctivitides when the inherent hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation; corneal injury from chemical, radiation, or thermal bums, or penetration of foreign bodies. 2. Otic - Steroid responsive inflammatory conditions of the external auditory meatus, such as allergic otitis externa, selected purulent and nonpurulent infective otitis externa when the hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation."
Dexamethasone phosphate,50-02-2,Dexamethasone,DB01234,rosacea,doid:8881,original,"DEXAMETHASONE SODIUM PHOSPHATE solution/ drop is indicated for the treatment of the following conditions: 1. Ophthalmic - Steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe such as allergic conjunctivitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, selected infective conjunctivitides when the inherent hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation; corneal injury from chemical, radiation, or thermal bums, or penetration of foreign bodies. 2. Otic - Steroid responsive inflammatory conditions of the external auditory meatus, such as allergic otitis externa, selected purulent and nonpurulent infective otitis externa when the hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation."
Dexamethasone phosphate,50-02-2,Dexamethasone,DB01234,punctate epithelial keratoconjunctivitis,doid:12197,original,"DEXAMETHASONE SODIUM PHOSPHATE solution/ drop is indicated for the treatment of the following conditions: 1. Ophthalmic - Steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe such as allergic conjunctivitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, selected infective conjunctivitides when the inherent hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation; corneal injury from chemical, radiation, or thermal bums, or penetration of foreign bodies. 2. Otic - Steroid responsive inflammatory conditions of the external auditory meatus, such as allergic otitis externa, selected purulent and nonpurulent infective otitis externa when the hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation."
Dexamethasone phosphate,50-02-2,Dexamethasone,DB01234,herpes zoster keratitis,,original,"DEXAMETHASONE SODIUM PHOSPHATE solution/ drop is indicated for the treatment of the following conditions: 1. Ophthalmic - Steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe such as allergic conjunctivitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, selected infective conjunctivitides when the inherent hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation; corneal injury from chemical, radiation, or thermal bums, or penetration of foreign bodies. 2. Otic - Steroid responsive inflammatory conditions of the external auditory meatus, such as allergic otitis externa, selected purulent and nonpurulent infective otitis externa when the hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation."
Dexamethasone phosphate,50-02-2,Dexamethasone,DB01234,uveitis,doid:13141,original,"DEXAMETHASONE SODIUM PHOSPHATE solution/ drop is indicated for the treatment of the following conditions: 1. Ophthalmic - Steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe such as allergic conjunctivitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, selected infective conjunctivitides when the inherent hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation; corneal injury from chemical, radiation, or thermal bums, or penetration of foreign bodies. 2. Otic - Steroid responsive inflammatory conditions of the external auditory meatus, such as allergic otitis externa, selected purulent and nonpurulent infective otitis externa when the hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation."
Dexamethasone phosphate,50-02-2,Dexamethasone,DB01234,iridocyclitis,doid:9383,original,"DEXAMETHASONE SODIUM PHOSPHATE solution/ drop is indicated for the treatment of the following conditions: 1. Ophthalmic - Steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe such as allergic conjunctivitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, selected infective conjunctivitides when the inherent hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation; corneal injury from chemical, radiation, or thermal bums, or penetration of foreign bodies. 2. Otic - Steroid responsive inflammatory conditions of the external auditory meatus, such as allergic otitis externa, selected purulent and nonpurulent infective otitis externa when the hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation."
Dexamethasone phosphate,50-02-2,Dexamethasone,DB01234,otitis externa,doid:9463,original,"DEXAMETHASONE SODIUM PHOSPHATE solution/ drop is indicated for the treatment of the following conditions: 1. Ophthalmic - Steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe such as allergic conjunctivitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, selected infective conjunctivitides when the inherent hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation; corneal injury from chemical, radiation, or thermal bums, or penetration of foreign bodies. 2. Otic - Steroid responsive inflammatory conditions of the external auditory meatus, such as allergic otitis externa, selected purulent and nonpurulent infective otitis externa when the hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation."
Dexamethasone phosphate,50-02-2,Dexamethasone,DB01234,Transplant Rejection,,repositioned,Treatment of corneal graft rejection.
Dextran 1,9004-54-0,Dextran,DB09255,Anaphylaxis,,original,Dextran 1 is used to prevent severe anaphylactic reactions to infusions of dextran. 
Dextran 1,9004-54-0,Dextran,DB09255,cystic fibrosis,doid:1485,repositioned,Treatment of cystic fibrosis 
Dextran 70,9004-54-0,Dextran,DB09255,recurrent corneal erosion,doid:11541,repositioned,Treatment of recurrent corneal erosion unresponsive to conventional therapy.
Difluprednate,23674-86-4,Difluprednate,DB06781,panuveitis,doid:12030,original,"Difluprednate ophthalmic emulsion 0.05%, a topical corticosteroid, is indicated for the treatment of inflammation and pain associated with ocular surgery. "
Difluprednate,23674-86-4,Difluprednate,DB06781,uveitis,doid:13141,repositioned,Treatment of endogenous and traumatic anterior uveitis and panuveitis. 
Digitoxin,71-63-6,Digitoxin,DB01396,cardiac arrhythmia,,original,Digitoxin is a cardiac glycoside with positive inotropic activity. It has actions similar to those of digoxin and is used in the management of some cardiac arrhythmias and in heart failure. 
Digitoxin,71-63-6,Digitoxin,DB01396,cystic fibrosis,doid:1485,repositioned,Treatment of cystic fibrosis
Digitoxin,71-63-6,Digitoxin,DB01396,ovarian cancer,doid:2394,repositioned,Treatment of ovarian cancer
Digitoxin,71-63-6,Digitoxin,DB01396,sarcoma,doid:1115,repositioned,Treatment of soft tissue sarcomas
Dimethyl sulfoxide,67-68-5,Dimethyl sulfoxide,DB01093,interstitial cystitis,doid:13949,original,Symptomatic relief of patients with interstitial cystitis.
Dimethyl sulfoxide,67-68-5,Dimethyl sulfoxide,DB01093,tuberculosis,doid:399,repositioned,For use in combination with antimicrobial drugs for the treatment of drug resistant tuberculosis
Dimethyl sulfoxide,67-68-5,Dimethyl sulfoxide,DB01093,**Injury Prevention**,,repositioned,Topical treatment for the prevention of soft tissue injury following extravastion of cytotoxic drugs. 
Dimethyl sulfoxide,67-68-5,Dimethyl sulfoxide,DB01093,systemic scleroderma,doid:418,repositioned,Treatment of cutaneous manifestations of scleroderma.
Dimethyl sulfoxide,67-68-5,Dimethyl sulfoxide,DB01093,intracranial hypertension,doid:9428,repositioned,"Treatment of increased intracranial pressure in patients with severe, closed-head injury, also known as traumatic brain coma, for whom no other effective treatment is available."
Doripenem,148016-81-3,Doripenem,DB06211,bacterial infectious disease,doid:104,original,"Treatment of the following infections caused by designated susceptible bacteria: Complicated intra-abdominal infections; Complicated urinary tract infections, including pyelonephritis. See details at: http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?id=8708#nlm34067-9"
Doripenem,148016-81-3,Doripenem,DB06211,bacterial infectious disease,doid:104,repositioned,Treatment of bronchopulmonary infection in patients with cystic fibrosis who are colonized with Pseudomonas aeruginosa or Burkholderia cepacia.
Doxorubicin,23214-92-8,Doxorubicin,DB00997,breast cancer,doid:1612,original,"1. Doxorubicin has been used successfully to produce regression in disseminated neoplastic conditions such as  breast carcinoma,  transitional cell bladder carcinoma, thyroid carcinoma, gastric carcinoma, 2. Doxorubicin is also indicated for use as a component of adjuvant therapy in women with evidence of axillary lymph node involvement following resection of primary breast cancer."
Doxorubicin,23214-92-8,Doxorubicin,DB00997,bladder urothelial carcinoma,doid:4006,original,"1. Doxorubicin has been used successfully to produce regression in disseminated neoplastic conditions such as  breast carcinoma,  transitional cell bladder carcinoma, thyroid carcinoma, gastric carcinoma, 2. Doxorubicin is also indicated for use as a component of adjuvant therapy in women with evidence of axillary lymph node involvement following resection of primary breast cancer."
Doxorubicin,23214-92-8,Doxorubicin,DB00997,thyroid cancer,doid:1781,original,"1. Doxorubicin has been used successfully to produce regression in disseminated neoplastic conditions such as  breast carcinoma,  transitional cell bladder carcinoma, thyroid carcinoma, gastric carcinoma, 2. Doxorubicin is also indicated for use as a component of adjuvant therapy in women with evidence of axillary lymph node involvement following resection of primary breast cancer."
Doxorubicin,23214-92-8,Doxorubicin,DB00997,stomach cancer,doid:10534,original,"1. Doxorubicin has been used successfully to produce regression in disseminated neoplastic conditions such as  breast carcinoma,  transitional cell bladder carcinoma, thyroid carcinoma, gastric carcinoma, 2. Doxorubicin is also indicated for use as a component of adjuvant therapy in women with evidence of axillary lymph node involvement following resection of primary breast cancer."
Doxorubicin,23214-92-8,Doxorubicin,DB00997,lymphoblastic leukemia,doid:1037,original,"Doxorubicin has been used successfully to produce regression in disseminated neoplastic conditions such as acute lymphoblastic leukemia, acute myeloblastic leukemia, Wilms' tumor, neuroblastoma, soft tissue and bone sarcomas,  ovarian carcinoma, gastric carcinoma, Hodgkin's disease, malignant lymphoma and bronchogenic carcinoma in which the small cell histologic type is the most responsive compared to other cell types."
Doxorubicin,23214-92-8,Doxorubicin,DB00997,acute myeloid leukemia,doid:9119,original,"Doxorubicin has been used successfully to produce regression in disseminated neoplastic conditions such as acute lymphoblastic leukemia, acute myeloblastic leukemia, Wilms' tumor, neuroblastoma, soft tissue and bone sarcomas,  ovarian carcinoma, gastric carcinoma, Hodgkin's disease, malignant lymphoma and bronchogenic carcinoma in which the small cell histologic type is the most responsive compared to other cell types."
Doxorubicin,23214-92-8,Doxorubicin,DB00997,nephroblastoma,doid:2154,original,"Doxorubicin has been used successfully to produce regression in disseminated neoplastic conditions such as acute lymphoblastic leukemia, acute myeloblastic leukemia, Wilms' tumor, neuroblastoma, soft tissue and bone sarcomas,  ovarian carcinoma, gastric carcinoma, Hodgkin's disease, malignant lymphoma and bronchogenic carcinoma in which the small cell histologic type is the most responsive compared to other cell types."
Doxorubicin,23214-92-8,Doxorubicin,DB00997,neuroblastoma,doid:769,original,"Doxorubicin has been used successfully to produce regression in disseminated neoplastic conditions such as acute lymphoblastic leukemia, acute myeloblastic leukemia, Wilms' tumor, neuroblastoma, soft tissue and bone sarcomas,  ovarian carcinoma, gastric carcinoma, Hodgkin's disease, malignant lymphoma and bronchogenic carcinoma in which the small cell histologic type is the most responsive compared to other cell types."
Doxorubicin,23214-92-8,Doxorubicin,DB00997,sarcoma,doid:1115,original,"Doxorubicin has been used successfully to produce regression in disseminated neoplastic conditions such as acute lymphoblastic leukemia, acute myeloblastic leukemia, Wilms' tumor, neuroblastoma, soft tissue and bone sarcomas,  ovarian carcinoma, gastric carcinoma, Hodgkin's disease, malignant lymphoma and bronchogenic carcinoma in which the small cell histologic type is the most responsive compared to other cell types."
Doxorubicin,23214-92-8,Doxorubicin,DB00997,ovarian cancer,doid:2394,original,"Doxorubicin has been used successfully to produce regression in disseminated neoplastic conditions such as acute lymphoblastic leukemia, acute myeloblastic leukemia, Wilms' tumor, neuroblastoma, soft tissue and bone sarcomas,  ovarian carcinoma, gastric carcinoma, Hodgkin's disease, malignant lymphoma and bronchogenic carcinoma in which the small cell histologic type is the most responsive compared to other cell types."
Doxorubicin,23214-92-8,Doxorubicin,DB00997,Hodgkin's lymphoma,doid:8567,original,"Doxorubicin has been used successfully to produce regression in disseminated neoplastic conditions such as acute lymphoblastic leukemia, acute myeloblastic leukemia, Wilms' tumor, neuroblastoma, soft tissue and bone sarcomas,  ovarian carcinoma, gastric carcinoma, Hodgkin's disease, malignant lymphoma and bronchogenic carcinoma in which the small cell histologic type is the most responsive compared to other cell types."
Doxorubicin,23214-92-8,Doxorubicin,DB00997,lymphoma,doid:0060058,original,"Doxorubicin has been used successfully to produce regression in disseminated neoplastic conditions such as acute lymphoblastic leukemia, acute myeloblastic leukemia, Wilms' tumor, neuroblastoma, soft tissue and bone sarcomas,  ovarian carcinoma, gastric carcinoma, Hodgkin's disease, malignant lymphoma and bronchogenic carcinoma in which the small cell histologic type is the most responsive compared to other cell types."
Doxorubicin,23214-92-8,Doxorubicin,DB00997,bronchus carcinoma,doid:3904,original,"Doxorubicin has been used successfully to produce regression in disseminated neoplastic conditions such as acute lymphoblastic leukemia, acute myeloblastic leukemia, Wilms' tumor, neuroblastoma, soft tissue and bone sarcomas,  ovarian carcinoma, gastric carcinoma, Hodgkin's disease, malignant lymphoma and bronchogenic carcinoma in which the small cell histologic type is the most responsive compared to other cell types."
Doxorubicin,23214-92-8,Doxorubicin,DB00997,hepatocellular carcinoma,doid:684,repositioned,Treatment of hepatocellular carcinoma.
Doxorubicin HCl with pluronic L-61 and pluronic F-127,23214-92-8,Doxorubicin,DB00997,esophageal carcinoma,doid:1107,repositioned,Treatment of esophageal carcinoma.
Doxorubicin HCl with pluronic L-61 and pluronic F-127,23214-92-8,Doxorubicin,DB00997,stomach cancer,doid:10534,repositioned,Treatment of gastric cancer.
Duloxetine,136434-34-9,Duloxetine,DB00476,mental depression,doid:1596,original,Depression
Duloxetine,136434-34-9,Duloxetine,DB00476,female stress incontinence,doid:724,repositioned,Stress urinary incontinence
Eculizumab,219685-50-4,Eculizumab,DB01257,hemoglobinuria,doid:582,original,Treatment of paroxysmal nocturnal hemoglobinuria to reduce hemolysis.
Eculizumab,219685-50-4,Eculizumab,DB01257,glomerular nephropathy,,repositioned,Idiopathic membranous glomerular nephropathy
Eculizumab,219685-50-4,Eculizumab,DB01257,hemolytic-uremic syndrome,doid:12554,repositioned,Treatment of atypical hemolytic uremic syndrome.
Eculizumab,219685-50-4,Eculizumab,DB01257,dermatomyositis,doid:10223,repositioned,Treatment of dermatomyositis.
Eflornithine HCl,70052-12-9,Eflornithine,DB06243,sleeping sickness,doid:10112,original,"Treatment of African trypanosomiasis (sleeping sickness), including the West African form (Trypanosoma brucei gambiense)."
Eflornithine HCl,70052-12-9,Eflornithine,DB06243,unwanted facial hair,,original,VANIQA (Eflurnithine HCl) cream is indicated for the reduction of unwanted facial hair in women.
Eflornithine HCl,70052-12-9,Eflornithine,DB06243,pneumocystosis,doid:11339,repositioned,Treatment of Pneumocystis carinii pneumonia in AIDS patients.
Eflornithine HCl,70052-12-9,Eflornithine,DB06243,grade III astrocytoma,doid:3078,repositioned,Treatment of anaplastic glioma.
Epoetin alpha,113427-24-0,Erythropoietin,DB00016,anemia,doid:2355,original,"Treatment of anemia associated with chronic renal failure, including patients on dialysis and patients not on dialysis. It is indicated to elevate or maintain the red blood cell level (as manifested by the hematocrit or hemoglobin determinations) and to decrease the need for transfusions in these patients."
Epoetin alpha,113427-24-0,Erythropoietin,DB00016,anemia,doid:2355,repositioned,Treatment of anemia of prematurity in preterm infants.
Epoetin alpha,113427-24-0,Erythropoietin,DB00016,myelodysplastic syndrome,doid:0050908,repositioned,Treatment of myelodysplastic syndrome.
Epoprostenol,35121-78-9,Epoprostenol,DB01240,pulmonary hypertension,doid:6432,original,Long-term intravenous treatment of primary pulmonary hypertension and pulmonary hypertension associated with the scleroderma spectrum of disease in NYHA Class III and Class IV patients who do not respond adequately to conventional therapy.
Epoprostenol,35121-78-9,Epoprostenol,DB01240,**anti-coagualtion**,,repositioned,Replacement of heparin in patients requiring hemodialysis and who are at increased risk of hemorrhage.
Erlotinib Hydrochloride,183321-74-6,Erlotinib,DB00530,pancreatic cancer,doid:1793,original,"First-line treatment of patients with locally advanced, unresectable or metastatic pancreatic cancer, in combination with gemcitabine."
Erlotinib Hydrochloride,183321-74-6,Erlotinib,DB00530,non-small cell lung carcinoma,doid:3908,original,Treatment of locally advanced or metastatic non-small cell lung cancer  after failure of at least one prior chemotherapy regimen.
Erlotinib Hydrochloride,183321-74-6,Erlotinib,DB00530,malignant glioma,doid:3070,repositioned,Treatment of malignant gliomas
Estradiol Gel,50-28-2,Estradiol,DB00783,Vasomotor symptoms,,original,Treatment of moderate to severe vasomotor symptoms associated with menopause.
Estradiol Gel,50-28-2,Estradiol,DB00783,Turner syndrome,doid:3491,repositioned,Estrogen replacement therapy in females with Turner syndrome
Etanercept,185243-69-0,Etanercept,DB00005,rheumatoid arthritis,doid:7148,original,"1. Reducing signs and symptoms, inducing major clinical response, inhibiting the progression of structural damage, and improving physical function in patients with moderately to severely active rheumatoid arthritis. 2. Reducing signs and symptoms, inhibiting the progression of structural damage of active arthritis, and improving physical function in patients with psoriatic arthritis. 3. Reducing signs and symptoms in patients with active ankylosing spondylitis. 4. Treatment of adult patients (18 years or older) with chronic moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy."
Etanercept,185243-69-0,Etanercept,DB00005,psoriatic arthritis,doid:9008,original,"1. Reducing signs and symptoms, inducing major clinical response, inhibiting the progression of structural damage, and improving physical function in patients with moderately to severely active rheumatoid arthritis. 2. Reducing signs and symptoms, inhibiting the progression of structural damage of active arthritis, and improving physical function in patients with psoriatic arthritis. 3. Reducing signs and symptoms in patients with active ankylosing spondylitis. 4. Treatment of adult patients (18 years or older) with chronic moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy."
Etanercept,185243-69-0,Etanercept,DB00005,ankylosing spondylitis,doid:7147,original,"1. Reducing signs and symptoms, inducing major clinical response, inhibiting the progression of structural damage, and improving physical function in patients with moderately to severely active rheumatoid arthritis. 2. Reducing signs and symptoms, inhibiting the progression of structural damage of active arthritis, and improving physical function in patients with psoriatic arthritis. 3. Reducing signs and symptoms in patients with active ankylosing spondylitis. 4. Treatment of adult patients (18 years or older) with chronic moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy."
Etanercept,185243-69-0,Etanercept,DB00005,psoriasis,doid:8893,original,"1. Reducing signs and symptoms, inducing major clinical response, inhibiting the progression of structural damage, and improving physical function in patients with moderately to severely active rheumatoid arthritis. 2. Reducing signs and symptoms, inhibiting the progression of structural damage of active arthritis, and improving physical function in patients with psoriatic arthritis. 3. Reducing signs and symptoms in patients with active ankylosing spondylitis. 4. Treatment of adult patients (18 years or older) with chronic moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy."
Etanercept,185243-69-0,Etanercept,DB00005,Wegener's granulomatosis,doid:12132,repositioned,Treatment of Wegener's granulomatosis.  
Ethinyl Estradiol,57-63-6,Ethinyl Estradiol,DB00977,**estrogen replacment**,,original,A synthetic oestrogen with actions similar to those of estradiol. It is frequently used as the oestrogenic component of combined oral contraceptive preparations
Ethinyl Estradiol,57-63-6,Ethinyl Estradiol,DB00977,Turner syndrome,doid:3491,repositioned,Treatment of Turner's syndrome.
Etidronate disodium,7414-83-7,Etidronic acid,DB01077,mammary Paget's disease,doid:3443,original,Etidronate disodium is indicated for the treatment of symptomatic Paget_s disease of bone and in the prevention and treatment of heterotopic ossification following total hip replacement or due to spinal cord injury. 
Etidronate disodium,7414-83-7,Etidronic acid,DB01077,myositis ossificans,doid:668,original,Etidronate disodium is indicated for the treatment of symptomatic Paget_s disease of bone and in the prevention and treatment of heterotopic ossification following total hip replacement or due to spinal cord injury. 
Etidronate disodium,7414-83-7,Etidronic acid,DB01077,hypercalcemia,doid:12678,original,Treatment of hypercalcemia in late-stage cancer patients.
Etidronate disodium,7414-83-7,Etidronic acid,DB01077,bone disease,doid:0080001,repositioned,Prevention of degenerative metabolic bone disease occurring in patients who require long term (6 months or greater) total parenteral nutrition.
