doid_id,drugbank_id,disease,drug,drug_qid
DOID:0050561,DB00555,lennox-gastaut syndrome,Lamotrigine,Q410346
DOID:9119,DB05817,acute myelogenous leukemia,laromustine,Q26841309
DOID:9119,DB05817,acute myelogenous leukemia,Laromustine,Q26841309
DOID:0050156,,idiopathic pulmonary fibrosis,lebrikizumab,Q3829321
DOID:1040,DB00480,chronic lymphocytic leukemia,lenalidomide,Q425681
DOID:0050750,DB00480,splenic marginal zone lymphoma,lenalidomide,Q425681
DOID:9538,DB00480,multiple myeloma,lenalidomide,Q425681
DOID:0050745,DB00480,diffuse large b-cell lymphoma,lenalidomide,Q425681
DOID:0050873,DB00480,follicular lymphoma,lenalidomide,Q425681
DOID:0050746,DB00480,mantle cell lymphoma,lenalidomide,Q425681
DOID:684,DB09078,hepatocellular carcinoma,lenvatinib,Q6523413
DOID:9119,,acute myeloid leukemia,Lestaurtinib,Q6531771
DOID:3948,,adrenocortical carcinoma,linsitinib,Q6554803
DOID:9119,,acute myelogenous leukemia,lintuzumab,Q3833129
DOID:9119,,acute myeloid leukemia,lintuzumab,Q3833129
DOID:0050908,,myelodysplastic syndrome,lintuzumab,Q3833129
DOID:0080159,DB00681,cryptococcal meningitis,Liposomal amphotericin B,Q412223
DOID:1731,DB00681,histoplasmosis,Liposomal amphotericin B,Q412223
DOID:9146,DB00681,visceral leishmaniasis,Liposomal amphotericin B,Q412223
DOID:3911,,hutchinson-gilford progeria syndrome,lonafarnib,Q3258910
DOID:14323,DB00678,marfan syndrome,losartan,Q410074
DOID:12177,,common variable immunodeficiency,Loxoribine,Q27081526
DOID:14499,,fabry disease,lucerastat,Q27279309
DOID:1485,DB04897,cystic fibrosis,Lucinactant,Q6697358
DOID:2394,,ovarian cancer,lurbinectedin,Q27254568
DOID:0050156,DB08932,idiopathic pulmonary fibrosis,macitentan,Q6724151
DOID:3070,,malignant glioma,marizomib,Q7404722
DOID:9538,,multiple myeloma,Marizomib,Q7404722
DOID:350,,mastocytosis,masitinib,Q1907109
DOID:332,,amyotrophic lateral sclerosis,masitinib mesylate,Q27295645
DOID:11723,DB00579,duchenne muscular dystrophy,Mazindol,Q255680
DOID:8986,DB00579,narcolepsy,mazindol,Q255680
DOID:332,DB01277,amyotrophic lateral sclerosis,Mecasermin,Q6804390
DOID:8677,DB01065,necrotizing enterocolitis,melatonin,Q180912
DOID:10605,DB01065,short bowel syndrome,melatonin,Q180912
DOID:676,DB00814,juvenile rheumatoid arthritis,meloxicam,Q414028
DOID:768,DB01042,retinoblastoma,melphalan,Q2298283
DOID:4947,DB01042,cholangiocarcinoma,melphalan,Q2298283
DOID:4734,,calciphylaxis,menaquinone,Q27251438
DOID:0060318,,acute promyelocytic leukemia,menatetrenone,Q192354
DOID:9119,,acute myeloid leukemia,menatetrenone,Q192354
DOID:0050908,,myelodysplastic syndrome,menatetrenone,Q192354
DOID:3049,DB06612,churg-strauss syndrome,mepolizumab,Q3306175
DOID:14261,,fragile x syndrome,metadoxine,Q18344013
DOID:9952,DB00563,acute lymphoblastic leukemia,methotrexate,Q422232
DOID:676,DB00563,juvenile rheumatoid arthritis,methotrexate,Q422232
DOID:437,DB00563,myasthenia gravis,Methotrexate,Q422232
DOID:3347,,osteogenic sarcoma,Methotrexate sodium,Q27122181
DOID:10783,DB09241,methemoglobinemia,methylene blue,Q422134
DOID:12252,,cushing's syndrome,metyrapone,Q26840996
DOID:3068,DB01388,glioblastoma multiforme,mibefradil,Q6827783
DOID:1793,DB01388,pancreatic cancer,mibefradil,Q6827783
DOID:2394,DB01388,ovarian cancer,mibefradil,Q6827783
DOID:1824,DB00683,status epilepticus,midazolam,Q423071
DOID:1824,DB00683,status epilepticus,midazolam,Q423071
DOID:350,,mastocytosis,Midostaurin,Q6842945
DOID:9119,,acute myeloid leukemia,Midostaurin,Q6842945
DOID:2394,DB00834,ovarian cancer,mifepristone,Q411240
DOID:14499,,fabry disease,migalastat hydrochloride,Q27275527
DOID:1926,DB00419,gaucher disease,miglustat,Q425911
DOID:9538,,multiple myeloma,milatuzumab,Q3857819
DOID:1040,,chronic lymphocytic leukemia,milatuzumab,Q3857819
DOID:9065,DB09031,leishmaniasis,miltefosine,Q411787
DOID:1793,,pancreatic cancer,Minnelide,Q27252236
DOID:11335,,sarcoidosis,Minocycline hydrochloride,Q27104777
DOID:0050745,,diffuse large b-cell lymphoma,mocetinostat,Q424869
DOID:0050908,,myelodysplastic syndrome,Mocetinostat,Q424869
DOID:0050749,,peripheral t-cell lymphoma,mogamulizumab,Q6890447
DOID:12449,,aplastic anemia,Molgramostim,Q6896158
DOID:8778,,pediatric crohn's disease,mongersen,Q27285216
DOID:285,,hairy cell leukemia,moxetumomab pasudotox,Q14605217
DOID:9952,,acute lymphoblastic leukemia,moxetumomab pasudotox,Q14605217
DOID:399,,tuberculosis,moxifloxacin hydrochloride,Q27107395
DOID:437,DB00688,myasthenia gravis,Mycophenolate mofetil,Q4567614
DOID:12365,,malaria,"N'-(7-Chloroquinolin-4-yl)-N,N-diethyl-propane-1,3-diamine",Q27259831
DOID:11723,,duchenne muscular dystrophy,"N-(2-((4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenamido)ethyl)-2-hydroxybenzamide",Q27273902
DOID:9119,,acute myeloid leukemia,"N-(5-tert-Butylisoxazol-3-yl)-N'-{4-[7-(2-(morpholin-4-yl)ethoxy) imidazo[2,1-b][1,3]benzothiazol-2-yl]phenyl}urea di-hydrochloride salt",Q27292691
DOID:3565,,meningioma,N-Hydroxy-4-(3-methyl-2-(S)phenyl-butyrylamino)benzamide,Q27276699
DOID:769,,neuroblastoma,N-[2-[(4-hydroxyphenyl)amino]-3-pyridinyl]-4-methoxybenzenesulfonamide,Q27166810
DOID:3070,DB01097,malignant glioma,N-[4-(trifluoromethyl)phenyl] 5 methylisoxazole-4-carboxamide,Q248550
DOID:2394,DB01097,ovarian cancer,N-[4-(trifluoromethyl)phenyl]-5-methylisoxazole-4-carboxamide,Q248550
DOID:399,,tuberculosis,"N-{[(5S)-3-(3-fluoro-4-thiomorpholin-4-ylphenyl)-2-oxo-1,3-oxazolidin-5-yl]methyl}acetamide",Q15427841
DOID:2048,DB00704,autoimmune hepatitis,naltrexone,Q409587
DOID:1793,,pancreatic cancer,napabucasin,Q27294876
DOID:11723,,duchenne muscular dystrophy,naproxcinod,Q3335996
DOID:1040,DB01280,chronic lymphocytic leukemia,nelarabine,Q1216264
DOID:9538,DB00220,multiple myeloma,nelfinavir,Q423366
DOID:437,,myasthenia gravis,neostigmine methylsulfate,Q27107519
DOID:13949,DB01115,interstitial cystitis,Nifedipine,Q39111
DOID:12140,,chagas disease,nifurtimox,Q411582
DOID:8552,DB04868,chronic myelogenous leukemia,nilotinib,Q412327
DOID:3070,,glioma,Nimotuzumab,Q3877039
DOID:1793,,pancreatic cancer,nimotuzumab,Q3877039
DOID:2394,,ovarian cancer,niraparib,Q27087937
DOID:1733,DB00507,cryptosporidiosis,Nitazoxanide,Q2943789
DOID:9270,DB00348,alkaptonuria,Nitisinone,Q3877355
DOID:11335,DB00435,sarcoidosis,Nitric oxide,Q207843
DOID:1485,DB00435,cystic fibrosis,nitric oxide,Q207843
DOID:1485,DB00435,cystic fibrosis,Nitric oxide,Q207843
DOID:0050156,DB00435,idiopathic pulmonary fibrosis,nitric oxide,Q207843
DOID:5041,DB09035,esophageal cancer,nivolumab,Q7041828
DOID:8567,DB09035,hodgkin lymphoma,nivolumab,Q7041828
DOID:684,DB09035,hepatocellular carcinoma,nivolumab,Q7041828
DOID:684,,hepatocellular carcinoma,nolatrexed,Q7048249
DOID:12377,DB13161,spinal muscular atrophy,nusinersen,Q25105466
DOID:4971,,myelofibrosis,Obatoclax mesylate,Q27256844
DOID:0050908,,myelodysplastic syndrome,Obatoclax mesylate,Q27256844
DOID:1040,,chronic lymphocytic leukemia,obatoclax mesylate,Q27256844
DOID:12236,,primary biliary cirrhosis,obeticholic acid,Q15708271
DOID:1040,DB08935,chronic lymphocytic leukemia,obinutuzumab,Q389496
DOID:0050750,DB08935,splenic marginal zone lymphoma,obinutuzumab,Q389496
DOID:0050873,DB08935,follicular lymphoma,obinutuzumab,Q389496
DOID:1040,,chronic lymphocytic leukemia,oblimersen,Q27269650
DOID:9538,,multiple myeloma,oblimersen,Q27269650
DOID:2449,,acromegaly,Octreotide,Q27088142
DOID:1040,,chronic lymphocytic leukemia,ofatumumab,Q410656
DOID:2394,,ovarian cancer,oglufanide disodium,Q27287036
DOID:2394,DB09074,ovarian cancer,olaparib,Q7083106
DOID:8552,DB04865,chronic myelogenous leukemia,omacetaxine mepesuccinate,Q7089373
DOID:0050557,,congenital muscular dystrophy,omigapil,Q7090184
DOID:9538,,multiple myeloma,oprozomib,Q27088209
DOID:2394,DB00526,ovarian cancer,Oxaliplatin,Q422327
DOID:332,,amyotrophic lateral sclerosis,Oxaloacetic acid,Q408658
DOID:11983,DB00107,prader-willi syndrome,oxytocin,Q169960
DOID:1793,DB01229,pancreatic cancer,paclitaxel,Q423762
DOID:12365,,malaria,Pafuramidine maleate,Q27281850
DOID:13374,,fibrodysplasia ossificans progressiva,palovarotene,Q15708269
DOID:0060061,DB06603,cutaneous t-cell lymphoma,Panobinostat,Q7131441
DOID:9538,DB06603,multiple myeloma,panobinostat,Q7131441
DOID:8567,DB06603,hodgkin's lymphoma,panobinostat,Q7131441
DOID:418,,systemic sclerosis,paquinimod,Q27279838
DOID:11199,DB05829,hypoparathyroidism,parathyroid hormone,Q20817243
DOID:2449,DB06663,acromegaly,pasireotide,Q3896970
DOID:2394,DB03010,ovarian cancer,Patupilone,Q27093987
DOID:2394,DB06589,ovarian cancer,pazopanib,Q7157043
DOID:9952,DB00059,acute lymphocytic leukemia,Pegaspargase,Q7160547
DOID:4450,DB00008,renal cell carcinoma,Peginterferon alfa-2a,Q420056
DOID:8552,DB00008,chronic myelogenous leukemia,Peginterferon alfa-2a,Q420056
DOID:2449,DB00082,acromegaly,Pegvisomant,Q409697
DOID:0060061,DB02568,cutaneous t-cell lymphoma,Peldesine,Q27093544
DOID:9261,DB09037,nasopharyngeal carcinoma,pembrolizumab,Q13896859
DOID:9538,DB09037,multiple myeloma,pembrolizumab,Q13896859
DOID:8567,DB09037,hodgkin lymphoma,pembrolizumab,Q13896859
DOID:3965,DB09037,merkel cell carcinoma,pembrolizumab,Q13896859
DOID:1793,DB00738,pancreatic cancer,pentamidine,Q416206
DOID:2394,DB00738,ovarian cancer,pentamidine,Q416206
DOID:11339,,pneumocystis carinii pneumonia,Pentamidine isethionate,Q26841221
DOID:11339,,pneumocystis carinii pneumonia,Pentamidine isethionate,Q26841221
DOID:0060061,DB00552,cutaneous t-cell lymphoma,Pentostatin,Q425470
DOID:13241,DB00806,behcet's disease,pentoxifylline,Q416331
DOID:0050561,DB08883,lennox-gastaut syndrome,perampanel,Q868658
DOID:684,,hepatocellular carcinoma,peretinoin,Q18326479
DOID:9538,,multiple myeloma,perifosine,Q3411917
DOID:769,,neuroblastoma,perifosine,Q3411917
DOID:3070,,glioma,perillyl alcohol,Q15391928
DOID:2394,DB06366,ovarian cancer,pertuzumab,Q1998021
DOID:0060318,,acute promyelocytic leukemia,Phenylbutyrate,Q27288012
DOID:6419,DB00388,tetralogy of fallot,phenylephrine,Q421910
DOID:1064,,cystinosis,Phosphocysteamine,Q27144789
DOID:0050156,DB04951,idiopathic pulmonary fibrosis,pirfenidone,Q2060696
DOID:0050156,DB04951,idiopathic pulmonary fibrosis,pirfenidone,Q2060696
DOID:9119,DB06809,acute myeloid leukemia,plerixafor,Q905835
DOID:2394,,ovarian cancer,Plevitrexed,Q27088412
DOID:0050745,,diffuse large b-cell lymphoma,Polatuzumab vedotin,Q19946115
DOID:9538,DB08910,multiple myeloma,pomalidomide,Q7227206
DOID:418,DB08910,systemic sclerosis,pomalidomide,Q7227206
DOID:8552,DB08901,chronic myeloid leukemia,ponatinib,Q198728
DOID:4362,,cervical cancer,Porfiromycin,Q27279527
DOID:11934,,head and neck cancer,Porfiromycin,Q27279527
DOID:0050073,DB01263,invasive aspergillosis,Posaconazole,Q906453
DOID:580,,uric acid nephrolithiasis,Potassium citrate,Q27133400
DOID:0050745,DB06813,diffuse large b-cell lymphoma,pralatrexate,Q637059
DOID:0050873,DB06813,follicular lymphoma,pralatrexate,Q637059
DOID:10079,DB01058,neurocysticercosis,Praziquantel,Q424145
DOID:3070,,glioma,pritumumab,Q7245992
DOID:1793,,pancreatic cancer,pritumumab,Q7245992
DOID:3070,,malignant glioma,Procarbazine HCl,Q26840941
DOID:3082,,interstitial lung disease,Pyruvate,Q27089397
DOID:0050424,DB06816,familial adenomatous polyposis,pyrvinium,Q264039
DOID:684,DB01103,hepatocellular carcinoma,quinacrine,Q417208
DOID:12365,DB00468,malaria,quinine Sulfate,Q189522
DOID:1270,,hereditary hemorrhagic telangiectasia,raloxifene hydrochloride,Q27122215
DOID:684,DB05578,hepatocellular carcinoma,ramucirumab,Q7290345
DOID:684,DB08896,hepatocellular carcinoma,regorafenib,Q3891664
DOID:12858,,huntington's disease,Remacemide,Q7311505
DOID:684,,hepatocellular carcinoma,resminostat,Q18394103
DOID:8567,,hodgkin's lymphoma,resminostat,Q18394103
DOID:9253,,gastrointestinal stromal tumor,retaspimycin,Q27139837
DOID:11266,DB00811,hemorrhagic fever with renal syndrome,ribavirin,Q421862
DOID:2957,DB04934,pulmonary tuberculosis,Rifalazil,Q7333206
DOID:2957,DB01201,pulmonary tuberculosis,Rifapentine,Q3935297
DOID:13413,DB01220,hepatic encephalopathy,rifaximin,Q416073
DOID:2394,,ovarian cancer,rigosertib,Q21099552
DOID:1793,,pancreatic cancer,rigosertib,Q21099552
DOID:2987,DB06372,familial mediterranean fever,rilonacept,Q7334300
DOID:332,DB00740,amyotrophic lateral sclerosis,Riluzole,Q415744
DOID:12858,DB00740,huntington's disease,Riluzole,Q415744
DOID:418,DB08931,systemic sclerosis,riociguat,Q2154494
DOID:8778,,pediatric crohn's disease,risankizumab,Q25112466
DOID:1040,DB00073,chronic lymphocytic leukemia,rituximab,Q412323
DOID:676,DB00533,juvenile rheumatoid arthritis,rofecoxib,Q411412
DOID:0050745,,diffuse large b-cell lymphoma,Rosomidnar,Q27255734
DOID:2394,,ovarian cancer,rucaparib,Q7376558
DOID:0050561,DB06201,lennox-gastaut syndrome,rufinamide,Q408565
DOID:9952,DB08877,acute lymphoblastic leukemia,Ruxolitinib,Q7383611
DOID:1793,DB08877,pancreatic cancer,ruxolitinib,Q7383611
DOID:8997,DB08877,polycythemia vera,ruxolitinib,Q7383611
DOID:2224,,essential thrombocythemia,ruxolitinib phosphate,Q27135517
DOID:4971,,myelofibrosis,ruxolitinib phosphate,Q27135517
DOID:13129,,severe preeclampsia,S-nitrosoglutathione,Q7387071
DOID:1793,,pancreatic cancer,sacituzumab govitecan,Q23901469
DOID:1793,,pancreatic cancer,salirasib,Q27088685
DOID:1206,,rett syndrome,sarizotan,Q7424144
DOID:9538,,multiple myeloma,selinexor,Q27256082
DOID:12858,,huntington's disease,selisistat,Q27088776
DOID:6039,,uveal melanoma,selumetinib,Q7448840
DOID:11983,,prader-willi syndrome,setmelanotide,Q21098917
DOID:4947,,cholangiocarcinoma,Silmitasertib,Q27076934
DOID:9538,DB09036,multiple myeloma,siltuximab,Q3960572
DOID:0060643,,primary sclerosing cholangitis,simtuzumab,Q7521275
DOID:10223,,dermatomyositis,siponimod,Q27288262
DOID:3319,DB00877,lymphangioleiomyomatosis,sirolimus,Q32089
DOID:3319,DB00877,lymphangioleiomyomatosis,sirolimus,Q32089
DOID:3319,DB00877,lymphangioleiomyomatosis,sirolimus,Q32089
DOID:0050449,DB00877,pachyonychia congenita,sirolimus,Q32089
DOID:332,,amyotrophic lateral sclerosis,smilagenin,Q27103971
DOID:10588,DB07425,x-linked adrenoleukodystrophy,sobetirome,Q27088838
DOID:12377,DB06819,spinal muscular atrophy,sodium 4-phenylbutyrate,Q7553358
DOID:9269,DB06819,maple syrup urine disease,sodium phenylbutyrate,Q7553358
DOID:12377,DB06819,spinal muscular atrophy,Sodium phenylbutyrate,Q7553358
DOID:9267,DB06819,urea cycle disorder,sodium phenylbutyrate,Q7553358
DOID:12377,DB06819,spinal muscular atrophy,Sodium phenylbutyrate,Q7553358
DOID:1485,,cystic fibrosis,Sodium pyruvate,Q3905673
DOID:9111,DB05630,cutaneous leishmaniasis,Sodium stibogluconate,Q2757844
DOID:9111,DB05630,cutaneous leishmaniasis,sodium stibogluconate,Q2757844
DOID:112,,bleeding esophageal varices,Sodium tetradecyl sulfate,Q7553377
DOID:4734,,calciphylaxis,sodium thiosulfate,Q410739
DOID:10223,,dermatomyositis,sodium thiosulfate,Q410739
DOID:10632,,wolfram syndrome,sodium valproate,Q4347890
DOID:112,DB09099,bleeding esophageal varices,Somatostatin,Q22075835
DOID:0050902,DB09143,medulloblastoma,sonidegib,Q22075856
DOID:4450,DB00398,renal cell carcinoma,Sorafenib,Q421136
DOID:684,DB00398,hepatocellular carcinoma,Sorafenib,Q421136
DOID:1312,,focal segmental glomerulosclerosis,sparsentan,Q27088845
DOID:0060171,DB09118,dravet syndrome,stiripentol,Q412182
DOID:8505,DB00891,dermatitis herpetiformis,Sulfapyridine,Q3976827
DOID:9538,,multiple myeloma,tabalumab,Q7672878
DOID:0050859,,hemorrhagic cystitis,tacrolimus,Q27130595
DOID:0050638,,familial amyloid polyneuropathy,tafamidis,Q519447
DOID:12365,,malaria,tafenoquine,Q2387553
DOID:332,DB04982,amyotrophic lateral sclerosis,talampanel,Q7678869
DOID:3070,DB04982,glioma,talampanel,Q7678869
DOID:1926,DB08876,gaucher's disease,Taliglucerase alfa,Q7679506
DOID:9952,,acute lymphoblastic leukemia,Talotrexin,Q27273768
DOID:9538,,multiple myeloma,Tanespimycin,Q4552288
DOID:1793,,pancreatic cancer,tarextumab,Q25098812
DOID:1793,,pancreatic cancer,taurolidine,Q3981568
DOID:8736,,smallpox,tecovirimat,Q27277828
DOID:10605,DB08900,short bowel syndrome,teduglutide [rDNA origin],Q7694156
DOID:4450,DB06287,renal cell carcinoma,Temsirolimus,Q7699074
DOID:418,,systemic sclerosis,terguride,Q7702355
DOID:11199,DB06285,hypoparathyroidism,teriparatide,Q411781
DOID:112,DB02638,bleeding esophageal varices,Terlipressin,Q324147
DOID:11823,DB02638,hepatorenal syndrome,terlipressin,Q324147
DOID:12858,DB04844,huntington's disease,Tetrabenazine,Q413050
DOID:8552,,chronic myeloid leukemia,tetrandrine,Q7706612
DOID:9119,,acute myeloid leukemia,tetrandrine,Q7706612
DOID:8632,DB01041,kaposi's sarcoma,Thalidomide,Q203174
DOID:9538,DB01041,multiple myeloma,Thalidomide,Q203174
DOID:8778,DB01041,crohn's disease,Thalidomide,Q203174
DOID:0050908,DB01041,myelodysplastic syndrome,Thalidomide,Q203174
DOID:684,DB04900,hepatocellular carcinoma,Thymalfasin,Q20817234
DOID:11335,,sarcoidosis,thymopentin,Q7799637
DOID:9119,DB00560,acute myeloid leukemia,tigecycline,Q420595
DOID:10718,DB00911,giardiasis,tinidazole,Q1321320
DOID:9181,DB00911,amebiasis,Tinidazole,Q1321320
DOID:0050156,,idiopathic pulmonary fibrosis,tipelukast,Q27236352
DOID:9119,DB04960,acute myeloid leukemia,Tipifarnib,Q7808830
DOID:684,,hepatocellular carcinoma,tirapazamine,Q3529346
DOID:11934,,head and neck cancer,tirapazamine,Q3529346
DOID:418,DB06273,systemic sclerosis,tocilizumab,Q425154
DOID:0050638,DB00323,transthyretin amyloidosis,Tolcapone,Q413840
DOID:678,DB09216,progressive supranuclear palsy,tolfenamic acid,Q59412
DOID:9255,DB09216,frontotemporal dementia,tolfenamic acid,Q59412
DOID:0050561,DB00273,lennox-gastaut syndrome,Topiramate,Q221174
DOID:9119,,acute myeloid leukemia,Tosedostat,Q27166812
DOID:0050156,,idiopathic pulmonary fibrosis,tralokinumab,Q7833105
DOID:1790,,malignant mesothelioma,tremelimumab,Q7838098
DOID:2394,,ovarian cancer,Treosulfan,Q7838652
DOID:0060318,DB00755,acute promyelocytic leukemia,Tretinoin,Q29417
DOID:9538,,multiple myeloma,triciribine,Q27887003
DOID:885,,fascioliasis,triclabendazole,Q419739
DOID:4074,,pancreatic adenocarcinoma,Trimetrexate glucuronate,Q27282570
DOID:9119,,acute myeloid leukemia,Troxacitabine,Q7846702
DOID:1485,DB06439,cystic fibrosis,Tyloxapol,Q7860340
DOID:12858,,huntington's disease,ubiquinol,Q411963
DOID:1040,,chronic lymphocytic leukemia,ublituximab,Q7876570
DOID:9119,,acute myeloid leukemia,ulocuplumab,Q21098907
DOID:10584,,retinitis pigmentosa,unoprostone isopropyl,Q27089094
DOID:9119,,acute myeloid leukemia,vadastuximab talirine,Q17044502
DOID:14261,,fragile x syndrome,Valproate,Q27104876
DOID:11723,,duchenne muscular dystrophy,vamorolone,Q27089127
DOID:4692,DB00512,endophthalmitis,vancomycin,Q424027
DOID:2449,DB04894,acromegaly,vapreotide,Q4008670
DOID:4947,,cholangiocarcinoma,Varlitinib,Q27089126
DOID:12705,,friedreich's ataxia,vatiquinone,Q27265220
DOID:3652,,leigh syndrome,vatiquinone,Q27265220
DOID:1206,,rett syndrome,vatiquinone,Q27265220
DOID:9182,,pemphigus,veltuzumab,Q4009438
DOID:1040,,chronic lymphocytic leukemia,veltuzumab,Q4009438
DOID:4329,DB08881,erdheim-chester disease,vemurafenib,Q423111
DOID:9538,DB11581,multiple myeloma,Venetoclax,Q23671272
DOID:1040,DB11581,chronic lymphocytic leukemia,venetoclax,Q23671272
DOID:9119,DB11581,acute myeloid leukemia,venetoclax,Q23671272
DOID:2394,,ovarian cancer,vintafolide,Q7932801
DOID:9119,,acute myeloid leukemia,volasertib,Q7939986
DOID:9538,DB02546,multiple myeloma,vorinostat,Q905901
DOID:9119,,acute myeloid leukemia,vosaroxin,Q18395775
DOID:635,DB00943,aids,Zalcitabine,Q2344582
DOID:635,DB00943,aids,Zalcitabine,Q2344582
DOID:635,DB00495,aids,zidovudine,Q198504
DOID:893,,wilson's disease,Zinc acetate,Q204639
DOID:9119,,acute myeloid leukemia,Zosuquidar trihydrochloride,Q27269191
