CUI	SAB	CODE	STR
C4023193	HPO	HP:0011776	Thyroid microfollicular adenoma
C4021843	HPO	HP:0011788	Increased serum free triiodothyronine (fT3)
C1319017	HPO	HP:0011796	Perilobar nephroblastomatosis
C1336839	HPO	HP:0011797	Papillary renal cell carcinoma type 1
C1860309	HPO	HP:0011824	Chin with H-shaped crease
C4021116	HPO	HP:0011828	Midline sinus of philtrum
C0426430	HPO	HP:0011833	Overhanging nasal tip
C4021113	HPO	HP:0011839	Abnormality of T cell number
C4023166	HPO	HP:0011840	Abnormality of T cell physiology
C0236024	HPO	HP:0011855	Pharyngeal edema
C4023159	HPO	HP:0011858	Reduced factor IX activity
C4023156	HPO	HP:0011867	Abnormality of the wing of the ilium
C0014013	HPO	HP:0011919	Pleural empyema
C0020312	HPO	HP:0011920	Transudative pleural effusion
C4021836	HPO	HP:0011930	Hyperextensible skin of chest
C4021108	HPO	HP:0011940	Anterior wedging of T12
C4023114	HPO	HP:0011941	Anterior wedging of L2
C0242770	HPO	HP:0011945	Bronchiolitis obliterans organizing pneumonia
C4023112	HPO	HP:0011949	Acute infectious pneumonia
C0035321	HPO	HP:0011958	Retinal perforation
C4023101	HPO	HP:0011969	Elevated luteinizing hormone
C0026987	HPO	HP:0011974	Myelofibrosis
C4023093	HPO	HP:0011990	Abnormality of neutrophil physiology
C4023084	HPO	HP:0012007	Hallucinatory auras
C4023081	HPO	HP:0012010	EEG with frontal focal spike waves
C4023076	HPO	HP:0012015	EEG with frontal focal spikes
C4023075	HPO	HP:0012016	EEG with occipital focal spikes
C0023309	HPO	HP:0012019	Lens luxation
C0599035	HPO	HP:0012026	Hyperornithinemia
C0155116	HPO	HP:0012039	Descemet Membrane Folds
C0271388	HPO	HP:0012043	Pendular nystagmus
C0271710	HPO	HP:0012051	Reactive hypoglycemia
C0334424	HPO	HP:0012058	Nodular melanoma
C2739810	HPO	HP:0012059	Lentigo maligna melanoma
C4023058	HPO	HP:0012071	Abnormality of acetylcarnitine metabolism
C4023057	HPO	HP:0012073	Abnormal urinary acylglycine profile
C0040416	HPO	HP:0012074	Tonic pupil
C0019681	HPO	HP:0012077	Histrionic personality disorder
C0034359	HPO	HP:0012085	Pyuria
C4023049	HPO	HP:0012090	Abnormality of pancreas morphology
C4023043	HPO	HP:0012102	Abnormal mitochondrial number
C4023042	HPO	HP:0012103	Abnormality of the mitochondrion
C0701807	HPO	HP:0012122	Anterior uveitis
C4023033	HPO	HP:0012131	Abnormal number of erythroid precursors
C4023029	HPO	HP:0012137	Abnormal number of granulocyte precursors
C4023023	HPO	HP:0012146	Abnormality of von Willebrand factor
C4023016	HPO	HP:0012161	External carotid artery dissection
C0018672	HPO	HP:0012168	Head-banging
C4023014	HPO	HP:0012171	Stereotypical hand wringing
C4023012	HPO	HP:0012177	Abnormal natural killer cell physiology
C0349639	HPO	HP:0012209	Juvenile myelomonocytic leukemia
C0266292	HPO	HP:0012210	Abnormal renal morphology
C4023000	HPO	HP:0012217	Increased urinary porphobilinogen
C0154822	HPO	HP:0012231	Exudative retinal detachment
C4020730	HPO	HP:0012240	Increased intramyocellular lipid droplets
C4022996	HPO	HP:0012244	Abnormal sex determination
C0553580	HPO	HP:0012254	Ewing's sarcoma
C4022990	HPO	HP:0012255	Dynein arm defect of respiratory motile cilia
C4022985	HPO	HP:0012260	Abnormal central microtubular pair morphology of respiratory motile cilia
C1998313	HPO	HP:0012266	T-wave alternans
C4022975	HPO	HP:0012275	Autosomal dominant inheritance with maternal imprinting
C4022969	HPO	HP:0012284	Small proximal tibial epiphyses
C0026640	HPO	HP:0012290	Mouth neoplasm
C4022961	HPO	HP:0012297	Slender proximal phalanx of finger
C4021865	HPO	HP:0012299	Long distal phalanx of finger
C0580319	HPO	HP:0012310	Abnormal monocyte count
C0263006	HPO	HP:0012322	Perifolliculitis
C0023470	HPO	HP:0012324	Myeloid leukemia
C4021092	HPO	HP:0012333	Abnormal sudomotor regulation
C4021091	HPO	HP:0012336	Reduced cerebrospinal fluid 5-methyltetrahydrofolate concentration
C4022938	HPO	HP:0012353	Decreased fucosylation of N-linked protein glycosylation
C4022925	HPO	HP:0012372	Abnormal eye morphology
C0149514	HPO	HP:0012388	Acute bronchitis
C4022916	HPO	HP:0012400	Abnormal aldolase level
C4020902	HPO	HP:0012401	Abnormal urine alpha-ketoglutarate concentration
C4021090	HPO	HP:0012406	Hypercitraturia
C4022911	HPO	HP:0012414	Duodenal atrophy
C0008513	HPO	HP:0012424	Chorioretinitis
C4021844	HPO	HP:0012429	Aplasia/Hypoplasia of the cerebral white matter
C4022908	HPO	HP:0012430	Cerebral white matter hypoplasia
C4022904	HPO	HP:0012437	Abnormal gallbladder morphology
C4022902	HPO	HP:0012439	Abnormal biliary tract physiology
C4021085	HPO	HP:0012443	Abnormality of brain morphology
C0235946	HPO	HP:0012444	Brain atrophy
C4022901	HPO	HP:0012446	Low CSF 5-methyltetrahydrofolate
C4022899	HPO	HP:0012453	Bilateral wrist flexion contracture
C4022895	HPO	HP:0012457	Medial calcification of medium-sized arteries
C3887898	HPO	HP:0012469	Infantile spasms
C2931375	HPO	HP:0012478	Temporomandibular joint ankylosis
C4022886	HPO	HP:0012483	Abnormal alpha granules
C4022885	HPO	HP:0012484	Abnormal dense granules
C4022881	HPO	HP:0012491	Abnormal dense tubular system
C4022879	HPO	HP:0012497	Reduced maximal expiratory pressure
C0007570	HPO	HP:0012538	Gluten intolerance
C0007722	HPO	HP:0012541	Cephalohematoma
C0263536	HPO	HP:0012542	Onychauxis
C4021082	HPO	HP:0012548	Fatty replacement of skeletal muscle
C4021838	HPO	HP:0012565	Premature epimetaphyseal fusion in fibula
C4022839	HPO	HP:0012573	Global proximal tubulopathy
C0545017	HPO	HP:0012574	Mesangial proliferation
C3276821	HPO	HP:0012577	Thin glomerular basement membrane
C0341698	HPO	HP:0012585	Renal atrophy
C4022827	HPO	HP:0012600	Abnormal urine chloride concentration
C4021078	HPO	HP:0012601	Hypochloriduria
C3671887	HPO	HP:0012605	Hypernatriuria
C4022820	HPO	HP:0012613	Increased urinary sulfate
C0041915	HPO	HP:0012618	Urachal cyst
C0266225	HPO	HP:0012621	Persistent cloaca
C2316786	HPO	HP:0012624	Stage 2 chronic kidney disease
C3805899	HPO	HP:0012631	Pigment deposition in the trabecular meshwork
C0520999	HPO	HP:0012632	Abnormal intraocular pressure
C2675074	HPO	HP:0012645	Enlarged peripheral nerve
C4022787	HPO	HP:0012676	Copper accumulation in brain
C4022786	HPO	HP:0012677	Iron accumulation in globus pallidus
C4022782	HPO	HP:0012681	Abnormality of pineal morphology
C4022780	HPO	HP:0012685	Decreased pineal volume
C4022776	HPO	HP:0012690	T2 hypointense thalamus
C4022773	HPO	HP:0012693	Abnormal thalamic size
C4022766	HPO	HP:0012700	Abnormal large intestine physiology
C1846151	HPO	HP:0012704	Widened subarachnoid space
C4022763	HPO	HP:0012706	Elevated brain choline level by MRS
C2080707	HPO	HP:0012714	Severe hearing impairment
C4021075	HPO	HP:0012716	Moderate conductive hearing impairment
C3839407	HPO	HP:0012724	Upper eyelid edema
C3495676	HPO	HP:0012732	Anorectal anomaly
C0010200	HPO	HP:0012735	Cough
C3553450	HPO	HP:0012736	Profound global developmental delay
C4021071	HPO	HP:0012739	Agenesis of the small intestine
C4022750	HPO	HP:0012742	Thin fingernail
C4022745	HPO	HP:0012751	Abnormal basal ganglia MRI signal intensity
C4022741	HPO	HP:0012755	Enlarged brainstem
C4022731	HPO	HP:0012769	Abnormal arm span
C0013449	HPO	HP:0012780	Neoplasm of the ear
C1319017	HPO	HP:0012782	Perilobar nephrogenic rest
C0206619	HPO	HP:0012797	Lymphatic vessel neoplasm
C4021067	HPO	HP:0012800	Accessory cranial suture
C4022718	HPO	HP:0012808	Abnormal nasal base
C0205082	HPO	HP:0012828	Severe
C0205246	HPO	HP:0012837	Generalized
C0392752	HPO	HP:0012838	Localized
C0085543	HPO	HP:0012847	Epilepsia partialis continua
C4022707	HPO	HP:0012856	Abnormal scrotal rugation
C0267095	HPO	HP:0012859	Esophageal leukoplakia
C4022703	HPO	HP:0012863	Abnormal male germ cell morphology
C0403824	HPO	HP:0012864	Abnormal sperm morphology
C0266427	HPO	HP:0012870	Vanishing testis
C2937350	HPO	HP:0012875	Abnormal ejaculation
C0033038	HPO	HP:0012876	Premature ejaculation
C4021060	HPO	HP:0012882	Hyperplastic labia majora
C0473311	HPO	HP:0012886	Hemorrhagic ovarian cyst
C4021059	HPO	HP:0012897	Abnormal upper-limb motor evoked potentials
C4022684	HPO	HP:0012902	Myotonia of the lower limb
C4022681	HPO	HP:0030000	EMG: Repetitive nerve stimulation abnormality
C0266404	HPO	HP:0030008	Cervical agenesis
C4022674	HPO	HP:0030021	Auricular tag
C4022672	HPO	HP:0030025	Auricular pit
C4021057	HPO	HP:0030029	Splayed fingers
C0575827	HPO	HP:0030033	Small finger
C3278307	HPO	HP:0030034	Diffuse glomerular basement membrane lamellation
C0434785	HPO	HP:0030043	Hip Subluxation
C4022661	HPO	HP:0030055	Hyperconvex toenail
C0027665	HPO	HP:0030060	Nervous tissue neoplasm
C0010276	HPO	HP:0030062	Craniopharyngioma
C0280803	HPO	HP:0030069	Primary central nervous system lymphoma
C0006413	HPO	HP:0030080	Burkitt lymphoma
C4022649	HPO	HP:0030094	Reduced muscle fiber laminin beta 1
C4022642	HPO	HP:0030103	Abnormal muscle fiber beta sarcoglycan
C4022640	HPO	HP:0030105	Abnormal muscle fiber delta sarcoglycan
C4022624	HPO	HP:0030121	Reduced muscle fiber calpain-3
C4022615	HPO	HP:0030133	Abnormal presence of ultra-large von Willebrand Factor multimers
C0156215	HPO	HP:0030154	Gallbladder perforation
C0269189	HPO	HP:0030158	Cervical ectropion
C0239064	HPO	HP:0030164	Jaw claudication
C4022600	HPO	HP:0030172	Peripheral amyelination
C4022595	HPO	HP:0030182	Tetraplegia/tetraparesis
C4021047	HPO	HP:0030183	Impaired visually enhanced vestibulo-ocular reflex
C4022580	HPO	HP:0030203	Unfavorable response of muscle weakness to acetylcholine esterase inhibitors
C0860609	HPO	HP:0030215	Inappropriate crying
C2220010	HPO	HP:0030220	Socially inappropriate behavior
C4022572	HPO	HP:0030226	Abnormal muscle fiber myotilin
C4022566	HPO	HP:0030232	Increased sarcoplasmic glycogen
C4022564	HPO	HP:0030235	Extremely elevated creatine phosphokinase
C4022558	HPO	HP:0030252	Absence of mature B cells
C4022553	HPO	HP:0030259	Hypopigmented genitalia
C0555231	HPO	HP:0030261	Absent penis
C4022549	HPO	HP:0030267	Calcification of the interosseus membrane of the forearm
C4022533	HPO	HP:0030292	Tibial metaphyseal irregularity
C4022529	HPO	HP:0030296	Metaphyseal chondromatosis of radius
C4022525	HPO	HP:0030301	Abnormality of the anterior commissure
C4022521	HPO	HP:0030306	11 thoracic vertebrae
C4022520	HPO	HP:0030307	Flared lower limb metaphysis
C1860855	HPO	HP:0030312	Obliteration of the calvarial diploe
C4022513	HPO	HP:0030320	Increased intervertebral space
C4022512	HPO	HP:0030321	Abnormality of the vertebral artery
C4022507	HPO	HP:0030328	Decreased osteoclast count
C3549703	HPO	HP:0030329	Retinal thinning
C4022505	HPO	HP:0030331	Impaired stimulus-induced skin wrinkling
C4021039	HPO	HP:0030336	Absence of CD4-positive, CD25-positive regulatory T cells
C4022493	HPO	HP:0040013	Decreased mitochondrial number
C4022488	HPO	HP:0040018	Clinodactyly of hallux
C4022487	HPO	HP:0040020	Radial deviation of the 5th finger
C2168996	HPO	HP:0040021	Radial deviation of the thumb
C4022472	HPO	HP:0040045	Abnormality of the hemidiaphragms
C4022467	HPO	HP:0040051	Abnormality of upper eyelashes
C1837496	HPO	HP:0040078	Axonal degeneration
C4021036	HPO	HP:0040089	Abnormality of natural killer cell number
C4022437	HPO	HP:0040104	Osseous stenosis of the external auditory canal
C4021034	HPO	HP:0040106	Morphological abnormality of the lateral semicircular canal
C4022430	HPO	HP:0040114	Absence of the reflex of the tensor tympani muscle
C1388953	HPO	HP:0040117	Atresia of the Eustachian tube
C4022425	HPO	HP:0040122	Impairment of the the acoustic reflex
C4022421	HPO	HP:0040132	Abnormal sensory nerve conduction velocity
C4022420	HPO	HP:0040134	Abnormal hepatic iron concentration
C4022414	HPO	HP:0040155	Elevated urinary 3-hydroxybutyric acid
C4022408	HPO	HP:0045002	Absent ossification of the trapezium
C4022400	HPO	HP:0045010	Abnormality of peripheral nerves
C0342892	HPO	HP:0045014	Hypolipidemia
C0015414	HPO	HP:0100012	Neoplasm of the eye
C0271160	HPO	HP:0100019	Cortical cataract
C0007789	HPO	HP:0100021	Cerebral palsy
C0040136	HPO	HP:0100031	Neoplasm of the thyroid gland
C2169806	HPO	HP:0100033	Tics
C4022377	HPO	HP:0100044	Absent epiphyses of the 2nd toe
C4022372	HPO	HP:0100049	Irregular epiphyses of the 2nd toe
C4022369	HPO	HP:0100052	Small epiphyses of the 2nd toe
C4022365	HPO	HP:0100056	Bracket epiphyses of the 3rd toe
C4022355	HPO	HP:0100066	Absent epiphyses of the 4th toe
C4022349	HPO	HP:0100072	Ivory epiphyses of the 4th toe
C4022345	HPO	HP:0100076	Triangular epiphyses of the 4th toe
C4022344	HPO	HP:0100077	Absent epiphyses of the 5th toe
C4022334	HPO	HP:0100087	Triangular epiphyses of the 5th toe
C4022319	HPO	HP:0100102	Cone-shaped epiphysis of the distal phalanx of the 2nd toe
C4022260	HPO	HP:0100161	Fragmentation of the epiphysis of the proximal phalanx of the 3rd toe
C4022248	HPO	HP:0100173	Fragmentation of the epiphysis of the distal phalanx of the 4th toe
C4022246	HPO	HP:0100175	Ivory epiphysis of the distal phalanx of the 4th toe
C4022244	HPO	HP:0100177	Small epiphysis of the distal phalanx of the 4th toe
C4022242	HPO	HP:0100179	Triangular epiphysis of the distal phalanx of the 4th toe
C4022222	HPO	HP:0100199	Small epiphysis of the proximal phalanx of the 4th toe
C4022218	HPO	HP:0100203	Bracket epiphysis of the distal phalanx of the 5th toe
C4022214	HPO	HP:0100207	Irregular epiphysis of the distal phalanx of the 5th toe
C4022212	HPO	HP:0100209	Pseudoepiphysis of the distal phalanx of the 5th toe
C4022199	HPO	HP:0100222	Stippling of the epiphysis of the middle phalanx of the 5th toe
C4022194	HPO	HP:0100227	Enlarged epiphysis of the proximal phalanx of the 5th toe
C4022189	HPO	HP:0100232	Small epiphysis of the proximal phalanx of the 5th toe
C4022186	HPO	HP:0100235	Synostosis involving bones of the toes
C4022185	HPO	HP:0100237	Proximal symphalangism (feet)
C4022184	HPO	HP:0100238	Synostosis involving bones of the upper limbs
C0079218	HPO	HP:0100245	Desmoid tumors
C0029440	HPO	HP:0100246	Osteoma
C0265554	HPO	HP:0100257	Ectrodactyly
C1848595	HPO	HP:0100260	Mesoaxial polydactyly
C4022177	HPO	HP:0100265	Synostosis of metacarpals/metatarsals
C4022170	HPO	HP:0100283	EMG: continuous motor unit activity at rest
C4022154	HPO	HP:0100307	Cerebellar hemisphere hypoplasia
C4022146	HPO	HP:0100323	Juvenile aseptic necrosis
C0011644	HPO	HP:0100324	Scleroderma
C4022145	HPO	HP:0100328	Carpometacarpal synostosis
C4022130	HPO	HP:0100355	Contractures of the distal interphalangeal joint of the 5th toe
C4022129	HPO	HP:0100356	Contracture of the metatarsophalangeal joint of the 2nd toe
C4022126	HPO	HP:0100359	Contracture of the metatarsophalangeal joint of the 5th toe
C4022125	HPO	HP:0100362	Aplasia of the phalanges of the 3rd toe
C4021014	HPO	HP:0100366	Short phalanx of the 3rd toe
C4022118	HPO	HP:0100373	Aplasia/Hypoplasia of the middle phalanx of the 4th toe
C4021009	HPO	HP:0100384	Absent proximal phalanx of the 3rd toe
C4021003	HPO	HP:0100394	Short middle phalanx of the 5th toe
C4020998	HPO	HP:0100399	Duplication of the distal phalanx of the 4th toe
C4020988	HPO	HP:0100409	Complete duplication of the distal phalanx of the 5th toe
C4022105	HPO	HP:0100413	Complete duplication of the proximal phalanx of the 3rd toe
C4022099	HPO	HP:0100428	Broad proximal phalanx of the 3rd toe
C4022086	HPO	HP:0100441	Bullet-shaped distal phalanx of the 4th toe
C4022075	HPO	HP:0100452	Osteolytic defects of the middle phalanx of the 3rd toe
C4022055	HPO	HP:0100472	Symphalangism affecting the middle phalanx of the 5th toe
C4022044	HPO	HP:0100487	Triangular shaped distal phalanx of the 5th toe
C0030783	HPO	HP:0100497	Vitamin B3 deficiency
C4022039	HPO	HP:0100498	Deviation of toes
C0042875	HPO	HP:0100513	Vitamin E deficiency
C0345344	HPO	HP:0100525	Urachus fistula
C4022033	HPO	HP:0100527	Neoplasia of the pleura
C0036416	HPO	HP:0100532	Scleritis
C4022028	HPO	HP:0100536	Abnormality of the fascia
C0019288	HPO	HP:0100541	Femoral hernia
C1260890	HPO	HP:0100562	Diplomyelia
C0266510	HPO	HP:0100566	Amyelia
C4022019	HPO	HP:0100581	Megacalicosis
C4022016	HPO	HP:0100587	Abnormality of the preputium
C0030483	HPO	HP:0100588	Paraphimosis
C4022015	HPO	HP:0100593	Calcification of cartilage
C1868854	HPO	HP:0100600	Penoscrotal transposition
C0013390	HPO	HP:0100607	Dysmenorrhea
C0025874	HPO	HP:0100608	Metrorrhagia
C4022012	HPO	HP:0100613	Death in early adulthood
C4022011	HPO	HP:0100618	Leydig cell neoplasia
C4022009	HPO	HP:0100623	Abnormality of corpus cavernosum
C0400930	HPO	HP:0100626	Chronic hepatic failure
C0014854	HPO	HP:0100628	Esophageal diverticulum
C0011854	HPO	HP:0100651	Type I diabetes mellitus
C0013384	HPO	HP:0100660	Dyskinesia
C0040997	HPO	HP:0100661	Trigeminal neuralgia
C0266611	HPO	HP:0100687	Polyotia
C4021996	HPO	HP:0100690	Mosaic central corneal dystrophy
C0426900	HPO	HP:0100694	Tibial torsion
C4020955	HPO	HP:0100700	Abnormality of the arachnoid mater
C4021989	HPO	HP:0100711	Abnormality of the thoracic spine
C0085271	HPO	HP:0100716	Self-injurious behavior
C4021979	HPO	HP:0100748	Muscular edema
C4021978	HPO	HP:0100755	Abnormality of salivation
C0334489	HPO	HP:0100757	Pancreatoblastoma
C0017086	HPO	HP:0100758	Gangrene
C1851712	HPO	HP:0100775	Dural ectasia
C4020952	HPO	HP:0100798	Fingernail dysplasia
C0036690	HPO	HP:0100806	Sepsis
C0007971	HPO	HP:0100825	Cheilitis
C0009404	HPO	HP:0100834	Neoplasm of the large intestine
C0264969	HPO	HP:0100858	Celiac artery aneurysm
C1836868	HPO	HP:0100865	Broad ischia
C4020946	HPO	HP:0100872	Abnormality of the plantar skin of foot
C0277959	HPO	HP:0100874	Thick hair
C4020944	HPO	HP:0100889	Abnormality of the ductus choledochus
C4021942	HPO	HP:0100900	Sclerosis of the distal phalanx of the 2nd finger
C4020930	HPO	HP:0100926	Sclerosis of 2nd toe phalanx
C4020923	HPO	HP:0100948	Sclerosis of distal toe phalanx
C4020918	HPO	HP:0200000	Dysharmonic bone age
C4021907	HPO	HP:0200001	Dysharmonic accelerated bone age
C4021904	HPO	HP:0200007	Abnormal size of the palpebral fissures
C0037287	HPO	HP:0200036	Skin nodule
C0578475	HPO	HP:0200048	Cyanotic episode
C0854892	HPO	HP:0200059	Metastatic angiosarcoma
C3552099	HPO	HP:0200073	Respiratory insufficiency due to defective ciliary clearance
C0853945	HPO	HP:0200097	Oral mucosal blisters
C4021888	HPO	HP:0200111	Absent stapes head
C3808820	HPO	HP:0200124	Chronic hepatitis due to cryptospridium infection
C4021886	HPO	HP:0200126	Amyolid cardiomyopathy
C4021875	HPO	HP:0400000	Tall chin
C4020916	HPO	HP:0400001	Chin with vertical crease
C4020914	HPO	HP:0410000	Abnormality of vomer
C0432084	HPO	HP:0410003	Cleft primary palate
C4021873	HPO	HP:0430000	Abnormality of the frontal bone
C0685213	HPO	HP:0430012	Incomplete ossification of palatine bone
C0443147	HPO	HP:0000006	Autosomal dominant inheritance
C4025900	HPO	HP:0000008	Abnormality of female internal genitalia
C0010417	HPO	HP:0000028	Cryptorchidism
C0431659	HPO	HP:0000046	Scrotal hypoplasia
C1691215	HPO	HP:0000047	Hypospadias
C0452148	HPO	HP:0000051	Perineal hypospadias
C1844527	HPO	HP:0000060	Clitoral hypoplasia
C0266362	HPO	HP:0000062	Ambiguous genitalia
C0221365	HPO	HP:0000073	Ureteral duplication
C0266295	HPO	HP:0000089	Renal hypoplasia
C0033687	HPO	HP:0000093	Proteinuria
C0151747	HPO	HP:0000124	Renal tubular dysfunction
C1856023	HPO	HP:0000142	Abnormality of the vagina
C1856006	HPO	HP:0000145	Transverse vaginal septum
C0206661	HPO	HP:0000150	Gonadoblastoma
C0149745	HPO	HP:0000155	Oral ulcer
C0431564	HPO	HP:0000180	Lobulated tongue
C4021814	HPO	HP:0000191	Accessory oral frenulum
C1861544	HPO	HP:0000196	Lower lip pit
C0031900	HPO	HP:0000201	Pierre-Robin sequence
C0017566	HPO	HP:0000212	Gingival overgrowth
C1839276	HPO	HP:0000216	Broad secondary alveolar ridge
C0240635	HPO	HP:0000218	High palate
C1853246	HPO	HP:0000232	Everted lower lip vermilion
C0578038	HPO	HP:0000233	Thin vermilion border
C1859455	HPO	HP:0000237	Small anterior fontanelle
C1857126	HPO	HP:0000242	Parietal bossing
C1854834	HPO	HP:0000250	Dense calvaria
C2243051	HPO	HP:0000256	Macrocephaly
C1866134	HPO	HP:0000260	Wide anterior fontanel
C4025872	HPO	HP:0000264	Abnormality of the mastoid
C0234853	HPO	HP:0000273	Facial grimacing
C4025870	HPO	HP:0000277	Abnormality of the mandible
C1866231	HPO	HP:0000293	Full cheeks
C1856361	HPO	HP:0000295	Doll-like facies
C4025864	HPO	HP:0000306	Abnormality of the chin
C1844505	HPO	HP:0000307	Pointed chin
C4025863	HPO	HP:0000315	Abnormality of the orbital region
C1835884	HPO	HP:0000325	Triangular face
C4025862	HPO	HP:0000326	Abnormality of the maxilla
C0240310	HPO	HP:0000327	Hypoplasia of the maxilla
C1849089	HPO	HP:0000337	Broad forehead
C0813217	HPO	HP:0000338	Hypomimic face
C1846011	HPO	HP:0000339	Pugilistic facies
C0025990	HPO	HP:0000347	Micrognathia
C0029899	HPO	HP:0000362	Otosclerosis
C1861326	HPO	HP:0000381	Stapes ankylosis
C1860816	HPO	HP:0000384	Preauricular skin tag
C1849364	HPO	HP:0000387	Absent earlobe
C1837732	HPO	HP:0000391	Thickened helices
C1866190	HPO	HP:0000413	Atresia of the external auditory canal
C4025855	HPO	HP:0000415	Abnormality of the choanae
C1854113	HPO	HP:0000426	Prominent nasal bridge
C1834055	HPO	HP:0000430	Underdeveloped nasal alae
C0426422	HPO	HP:0000446	Narrow nasal bridge
C0008297	HPO	HP:0000453	Choanal atresia
C0426428	HPO	HP:0000456	Bifid nasal tip
C0015393	HPO	HP:0000478	Abnormality of the eye
C0035300	HPO	HP:0000479	Abnormality of the retina
C1847524	HPO	HP:0000484	Hyperopic astigmatism
C0035309	HPO	HP:0000488	Retinopathy
C1843369	HPO	HP:0000511	Vertical supranuclear gaze palsy
C0344505	HPO	HP:0000522	Alacrima
C1096610	HPO	HP:0000531	Corneal crystals
C0020490	HPO	HP:0000540	Hypermetropia
C0162292	HPO	HP:0000544	External ophthalmoplegia
C1845274	HPO	HP:0000549	Abnormal conjugate eye movement
C0423109	HPO	HP:0000582	Upslanted palpebral fissure
C1858036	HPO	HP:0000629	Periorbital fullness
C0012569	HPO	HP:0000651	Diplopia
C1142448	HPO	HP:0000658	Eyelid apraxia
C0344559	HPO	HP:0000659	Peters anomaly
C0339477	HPO	HP:0000660	Lipemia retinalis
C0271385	HPO	HP:0000666	Horizontal nystagmus
C0271007	HPO	HP:0000667	Phthisis bulbi
C1852504	HPO	HP:0000692	Misalignment of teeth
C1849540	HPO	HP:0000696	Delayed eruption of permanent teeth
C0085631	HPO	HP:0000713	Agitation
C0011581	HPO	HP:0000716	Depression
C0004352	HPO	HP:0000717	Autism
C0085633	HPO	HP:0000720	Mood swings
C0018524	HPO	HP:0000738	Hallucinations
C0011253	HPO	HP:0000746	Delusions
C0424304	HPO	HP:0000748	Inappropriate laughter
C0454644	HPO	HP:0000750	Delayed speech and language development
C0424295	HPO	HP:0000752	Hyperactivity
C1857640	HPO	HP:0000762	Decreased nerve conduction velocity
C1860493	HPO	HP:0000766	Abnormality of the sternum
C2051831	HPO	HP:0000767	Pectus excavatum
C0426817	HPO	HP:0000773	Short ribs
C0018965	HPO	HP:0000790	Hematuria
C0403719	HPO	HP:0000791	Uric acid nephrolithiasis
C4025824	HPO	HP:0000812	Abnormal internal genitalia
C0011849	HPO	HP:0000819	Diabetes mellitus
C0040128	HPO	HP:0000820	Abnormality of the thyroid gland
C0020538	HPO	HP:0000822	Hypertension
C3714796	HPO	HP:0000824	Growth hormone deficiency
C1864903	HPO	HP:0000825	Hyperinsulinemic hypoglycemia
C1839731	HPO	HP:0000878	11 pairs of ribs
C1865039	HPO	HP:0000887	Cupped ribs
C3806510	HPO	HP:0000888	Horizontal ribs
C0152438	HPO	HP:0000912	Sprengel anomaly
C1851415	HPO	HP:0000918	Scapular exostoses
C1857180	HPO	HP:0000920	Enlargement of the costochondral junction
C0426824	HPO	HP:0000923	Beaded ribs
C0235942	HPO	HP:0000929	Abnormality of the skull
C0030232	HPO	HP:0000980	Pallor
C0022596	HPO	HP:0000982	Palmoplantar keratoderma
C0015230	HPO	HP:0000988	Skin rash
C1858545	HPO	HP:0000996	Facial capillary hemangioma
C0424631	HPO	HP:0001002	Decreased subcutaneous fat
C0020678	HPO	HP:0001006	Hypotrichosis
C0002985	HPO	HP:0001014	Angiokeratoma
C1855815	HPO	HP:0001024	Skin dimple over apex of long bone angulation
C0042109	HPO	HP:0001025	Urticaria
C4025806	HPO	HP:0001042	High axial triradius
C1856542	HPO	HP:0001043	Prominent scalp veins
C0152459	HPO	HP:0001065	Striae distensae
C1857171	HPO	HP:0001069	Episodic hyperhidrosis
C0860439	HPO	HP:0001070	Mottled pigmentation
C0020302	HPO	HP:0001087	Congenital glaucoma
C0423319	HPO	HP:0001089	Iris atrophy
C1855852	HPO	HP:0001090	Large eyes
C0152132	HPO	HP:0001095	Hypertensive retinopathy
C0002982	HPO	HP:0001102	Angioid streaks of the retina
C1849412	HPO	HP:0001104	Macular hypoplasia
C1850191	HPO	HP:0001115	Posterior polar cataract
C0221259	HPO	HP:0001128	Trichiasis
C0003706	HPO	HP:0001166	Arachnodactyly
C1840535	HPO	HP:0001191	Abnormality of the carpal bones
C0241395	HPO	HP:0001222	Spatulate thumbs
C0036572	HPO	HP:0001250	Seizures
C0026106	HPO	HP:0001256	Intellectual disability, mild
C0013362	HPO	HP:0001260	Dysarthria
C0026826	HPO	HP:0001276	Hypertonia
C0575059	HPO	HP:0001285	Spastic tetraparesis
C0025289	HPO	HP:0001287	Meningitis
C0575081	HPO	HP:0001288	Gait disturbance
C4025794	HPO	HP:0001301	Chronic sensorineural polyneuropathy
C0266483	HPO	HP:0001302	Pachygyria
C1840379	HPO	HP:0001320	Cerebellar vermis hypoplasia
C4025790	HPO	HP:0001328	Specific learning disability
C0009451	HPO	HP:0001334	Communicating hydrocephalus
C1867103	HPO	HP:0001377	Limited elbow extension
C4020870	HPO	HP:0001384	Abnormality of the hip joint
C0019555	HPO	HP:0001385	Hip dysplasia
C0152031	HPO	HP:0001386	Joint swelling
C2239176	HPO	HP:0001402	Hepatocellular carcinoma
C1849766	HPO	HP:0001405	Periportal fibrosis
C0267818	HPO	HP:0001408	Bile duct proliferation
C4025784	HPO	HP:0001437	Abnormality of the musculature of the lower limbs
C0814045	HPO	HP:0001450	Y-linked inheritance
C4025772	HPO	HP:0001464	Aplasia/Hypoplasia involving the shoulder musculature
C1854614	HPO	HP:0001473	Metatarsal osteolysis
