orphanet_code	orphanet_term
Orphanet:2679	Infantile axonal neuropathy
Orphanet:77298	Anophthalmia/microphthalmia-esophageal atresia syndrome
Orphanet:98299	Ichthyosis associated with a nucleotide excision repair anomaly
Orphanet:251937	Gangliocytoma
Orphanet:3374	Triopia
Orphanet:2114	Hip dysplasia, Beukes type
Orphanet:892	Von Hippel-Lindau disease
Orphanet:1788	Acrofacial dysostosis, Rodríguez type
Orphanet:77259	Gaucher disease type 1
Orphanet:2406	Locked-in syndrome
Orphanet:3319	Congenital amegakaryocytic thrombocytopenia
Orphanet:1839	Hereditary mucoepithelial dysplasia
Orphanet:1590	Distal monosomy 13q
Orphanet:3322	Hoyeraal-Hreidarsson syndrome
Orphanet:65288	Permanent neonatal diabetes mellitus-pancreatic and cerebellar agenesis syndrome
Orphanet:231230	Beta-thalassemia associated with another hemoglobin anomaly
Orphanet:2229	Dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome
Orphanet:2573	Moyamoya disease
Orphanet:251	Multiple epiphyseal dysplasia
Orphanet:3360	Trichodermal syndrome-intellectual disability syndrome
Orphanet:114	Auriculoosteodysplasia
Orphanet:2438	Hand-foot-genital syndrome
Orphanet:34217	Naxos disease
Orphanet:330001	Wild type ATTR amyloidosis
Orphanet:1827	Acromelic frontonasal dysplasia
Orphanet:251623	Pituicytoma
Orphanet:3130	Satoyoshi syndrome
Orphanet:1406	Charlie M syndrome
Orphanet:67041	Hyaluronidase deficiency
Orphanet:256	Early-onset generalized limb-onset dystonia
Orphanet:93316	Spondylometaphyseal dysplasia, Schmidt type
Orphanet:432	Normosmic congenital hypogonadotropic hypogonadism
Orphanet:3332	Hypoplastic tibiae-postaxial polydactyly syndrome
Orphanet:1226	Bamforth-Lazarus syndrome
Orphanet:618	Familial melanoma
Orphanet:683	Progressive supranuclear palsy
Orphanet:90652	Otopalatodigital syndrome type 2
Orphanet:97282	VIPoma
Orphanet:3283	His bundle tachycardia
Orphanet:1883	Ectodermal dysplasia-sensorineural deafness syndrome
Orphanet:2097	Grant syndrome
Orphanet:90044	Familial pseudohyperkalemia
Orphanet:1752	Trisomy 8q
Orphanet:475	Joubert syndrome
Orphanet:79394	Congenital non-bullous ichthyosiform erythroderma
Orphanet:1784	Acro-fronto-facio-nasal dysostosis
Orphanet:681	Hypokalemic periodic paralysis
Orphanet:99976	Adenocarcinoma of esophagus
Orphanet:93296	Achondrogenesis type 2
Orphanet:1094	Anonychia-microcephaly syndrome
Orphanet:534	Oculocerebrorenal syndrome of Lowe
Orphanet:100024	Mu-heavy chain disease
Orphanet:36397	Adiposis dolorosa
Orphanet:2117	Hartsfield-Bixler-Demyer syndrome
Orphanet:763	Pycnodysostosis
Orphanet:1636	Distal monosomy 7q36
Orphanet:436144	Intrauterine growth restriction-short stature-early adult-onset diabetes syndrome
Orphanet:2081	Cerebral gigantism-jaw cysts syndrome
Orphanet:1775	Dyskeratosis congenita
Orphanet:959	Acro-renal-ocular syndrome
Orphanet:228169	Autosomal dominant striatal neurodegeneration
Orphanet:1948	Epilepsy-microcephaly-skeletal dysplasia syndrome
Orphanet:48	Congenital bilateral absence of vas deferens
Orphanet:429	Hypochondroplasia
Orphanet:1514	Craniodigital syndrome-intellectual disability syndrome
Orphanet:95712	Thyroid ectopia
Orphanet:2973	46,XX disorder of sex development-anorectal anomalies syndrome
Orphanet:64741	Pulmonary blastoma
Orphanet:2076	X-linked intellectual disability-epilepsy syndrome
Orphanet:50817	Duane anomaly-myopathy-scoliosis syndrome
Orphanet:3156	Senior-Loken syndrome
Orphanet:2793	Otoonychoperoneal syndrome
Orphanet:2431	Central bilateral macrogyria
Orphanet:2020	Congenital fiber-type disproportion myopathy
Orphanet:1656	Dermatitis herpetiformis
Orphanet:2698	Knuckle pads-leukonychia-sensorineural deafness-palmoplantar hyperkeratosis syndrome
Orphanet:1187	Lethal ataxia with deafness and optic atrophy
Orphanet:761	Immunoglobulin A vasculitis
Orphanet:245	Nager syndrome
Orphanet:90362	Primary intestinal lymphangiectasia
Orphanet:3121	Ruvalcaba syndrome
Orphanet:250999	1q41q42 microdeletion syndrome
Orphanet:2346	Angioosteohypertrophic syndrome
Orphanet:1806	Ectodermal dysplasia-blindness syndrome
Orphanet:79238	Galactose epimerase deficiency
Orphanet:94065	15q24 microdeletion syndrome
Orphanet:75857	6q terminal deletion syndrome
Orphanet:2616	3M syndrome
Orphanet:85324	X-linked intellectual disability, Shrimpton type
Orphanet:90309	Ehlers-Danlos syndrome type 1
Orphanet:1390	Night blindness-skeletal anomalies-dysmorphism syndrome
Orphanet:3440	Waardenburg syndrome
Orphanet:49	Penile agenesis
Orphanet:137634	Overgrowth-macrocephaly-facial dysmorphism syndrome
Orphanet:592	Macrophagic myofasciitis
Orphanet:1326	Camptodactyly syndrome, Guadalajara type 2
Orphanet:158684	Epidermolysis bullosa simplex with pyloric atresia
Orphanet:510	Lesch-Nyhan syndrome
Orphanet:255	Dopa-responsive dystonia
Orphanet:1657	Dermatoosteolysis, Kirghizian type
Orphanet:69087	Naegeli-Franceschetti-Jadassohn syndrome
Orphanet:229717	Isolated agammaglobulinemia
Orphanet:3207	White matter hypoplasia-corpus callosum agenesis-intellectual disability syndrome
Orphanet:2052	Fraser syndrome
Orphanet:435938	X-linked microcephaly-growth retardation-prognathism-cryptorchidism syndrome
Orphanet:949	Acrocraniofacial dysostosis
Orphanet:233	Duane retraction syndrome
Orphanet:98296	Ichthyosis associated with a cornified cell envelope and epidermal lipid metabolism anomaly
Orphanet:631	Non-acquired isolated growth hormone deficiency
Orphanet:137871	Laminopathy type Decaudain-Vigouroux
Orphanet:85286	X-linked intellectual disability, Shashi type
Orphanet:955	Acroosteolysis dominant type
Orphanet:313892	Developmental and speech delay due to SOX5 deficiency
Orphanet:178333	Åland Islands eye disease
Orphanet:908	Fragile X syndrome
Orphanet:1006	Alopecia antibody deficiency
Orphanet:1707	Distal trisomy 15q
Orphanet:52047	Braddock syndrome
Orphanet:61	Alpha-mannosidosis
Orphanet:95707	Isolated micropenis
Orphanet:3090	Congenital pulmonary venous return anomaly
Orphanet:1159	Progressive pseudorheumatoid arthropathy of childhood
Orphanet:1314	Symmetrical thalamic calcifications
Orphanet:1059	Blue rubber bleb nevus
Orphanet:93389	Brachydactyly type A5
Orphanet:435934	COG2-CDG
Orphanet:93311	Multiple epiphyseal dysplasia type 5
Orphanet:93405	Syndactyly type 4
Orphanet:2016	Cleft palate-lateral synechia syndrome
Orphanet:1968	Flat face-microstomia-ear anomaly syndrome
Orphanet:1826	Frontometaphyseal dysplasia
Orphanet:90653	Stickler syndrome type 1
Orphanet:939	3-hydroxyisobutyric aciduria
Orphanet:1327	Camptodactyly syndrome, Guadalajara type 1
Orphanet:1516	Craniofacial dyssynostosis
Orphanet:971	Acrorenal syndrome
Orphanet:576	Mucolipidosis type II
Orphanet:168624	Familial scaphocephaly syndrome, McGillivray type
Orphanet:3082	Intellectual disability-polydactyly-uncombable hair syndrome
Orphanet:636	Neurofibromatosis type 1
Orphanet:99885	Permanent neonatal diabetes mellitus
Orphanet:158673	Acral dystrophic epidermolysis bullosa
Orphanet:3176	Spina bifida-hypospadias syndrome
Orphanet:140966	Palmoplantar keratoderma, Nagashima type
Orphanet:2128	Isolated hemihyperplasia
Orphanet:978	ADULT syndrome
Orphanet:910	Xeroderma pigmentosum
Orphanet:46724	Cerebral arteriovenous malformation
Orphanet:1525	Cranio-osteoarthropathy
Orphanet:945	Acalvaria
Orphanet:75325	Osteosclerosis-ichthyosis-premature ovarian failure syndrome
Orphanet:1467	Cogan syndrome
Orphanet:391411	Atypical juvenile parkinsonism
Orphanet:77243	Lipedema
Orphanet:93474	Scheie syndrome
Orphanet:217	Isolated Dandy-Walker malformation
Orphanet:742	Prolidase deficiency
Orphanet:73224	Tubular renal disease-cardiomyopathy syndrome
Orphanet:101077	X-linked Charcot-Marie-Tooth disease type 3
Orphanet:302	Epidermodysplasia verruciformis
Orphanet:93409	Brachydactyly-syndactyly, Zhao type
Orphanet:79358	Porokeratosis
Orphanet:2310	Absence deformity of leg-cataract syndrome
Orphanet:1355	Congenital heart defect-round face-developmental delay syndrome
Orphanet:79480	Pemphigus erythematosus
Orphanet:175	Cartilage-hair hypoplasia
Orphanet:2879	Phocomelia, Schinzel type
Orphanet:648	Noonan syndrome
Orphanet:867	Familial multiple trichoepithelioma
Orphanet:79279	Alpha-N-acetylgalactosaminidase deficiency type 1
Orphanet:2611	Linear verrucous nevus syndrome
Orphanet:63455	Paraneoplastic pemphigus
Orphanet:79132	Sparse hair-short stature-skin anomalies syndrome
Orphanet:79400	Localized epidermolysis bullosa simplex
Orphanet:79444	Pseudohypoparathyroidism type 1C
Orphanet:79280	Alpha-N-acetylgalactosaminidase deficiency type 2
Orphanet:64755	Becker nevus syndrome
Orphanet:2635	Metatropic dysplasia
Orphanet:166002	Multiple epiphyseal dysplasia due to collagen 9 anomaly
Orphanet:2019	Femur-fibula-ulna complex
Orphanet:1867	Bullous dystrophy, macular type
Orphanet:812	Sialidosis type 1
Orphanet:251066	8p11.2 deletion syndrome
Orphanet:73246	Visceral neuropathy-brain anomalies-facial dysmorphism-developmental delay syndrome
Orphanet:1387	Cataract-intellectual disability-hypogonadism syndrome
Orphanet:88621	Ichthyosis prematurity syndrome
Orphanet:1154	Arthrogryposis with oculomotor limitation and electroretinal anomalies
Orphanet:1896	EEC syndrome
Orphanet:284180	Xp22.13p22.2 duplication syndrome
Orphanet:2875	Phakomatosis pigmentovascularis
Orphanet:317	Erythrokeratodermia variabilis
Orphanet:2633	Mesomelic dwarfism, Nievergelt type
Orphanet:35069	Infantile neuroaxonal dystrophy
Orphanet:1956	Erythromelalgia
Orphanet:52055	Corpus callosum agenesis-intellectual disability-coloboma-micrognathia syndrome
Orphanet:314473	Ovarian fibroma
Orphanet:409	Hyperkeratosis lenticularis perstans
Orphanet:342	Familial Mediterranean fever
Orphanet:79361	Inherited epidermolysis bullosa
Orphanet:1319	Camptobrachydactyly
Orphanet:385	Neurodegeneration with brain iron accumulation
Orphanet:2964	Autosomal dominant prognathism
Orphanet:1202	Larynx atresia
Orphanet:38	Acrokeratoelastoidosis of Costa
Orphanet:221054	Acrocephalopolydactyly
Orphanet:1577	Infantile thalamic degeneration
Orphanet:90349	Autosomal recessive cutis laxa type 1
Orphanet:85336	X-linked neurodegenerative syndrome, Hamel type
Orphanet:1228	Banki syndrome
Orphanet:79405	Junctional epidermolysis bullosa inversa
Orphanet:35125	Epidermal nevus syndrome
Orphanet:1192	Atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome
Orphanet:388	Hirschsprung disease
Orphanet:90790	Congenital lipoid adrenal hyperplasia due to STAR deficency
Orphanet:2909	Rothmund-Thomson syndrome
Orphanet:774	Hereditary hemorrhagic telangiectasia
Orphanet:261304	Paternal 20q13.2q13.3 microdeletion syndrome
Orphanet:2047	Flynn-Aird syndrome
Orphanet:1876	Oculogastrointestinal muscular dystrophy
Orphanet:799	Schizencephaly
Orphanet:3305	Tetraploidy
Orphanet:1915	Fetal alcohol syndrome
Orphanet:85277	X-linked intellectual disability, Cantagrel type
Orphanet:192	Coffin-Lowry syndrome
Orphanet:137867	Madras motor neuron disease
Orphanet:2268	ICF syndrome
Orphanet:1861	Thoracic dysplasia-hydrocephalus syndrome
Orphanet:166277	Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia
Orphanet:11	Pentasomy X
Orphanet:2841	Familial benign chronic pemphigus
Orphanet:755	Leydig cell hypoplasia
Orphanet:2712	Oculofaciocardiodental syndrome
Orphanet:79320	ALG6-CDG
Orphanet:54251	Corticosteroid-sensitive aseptic abscess syndrome
Orphanet:91354	Pituitary deficiency due to empty sella turcica syndrome
Orphanet:261190	15q14 microdeletion syndrome
Orphanet:250923	Isolated aniridia
Orphanet:1325	Camptodactyly-taurinuria syndrome
Orphanet:99875	Ehlers-Danlos syndrome type 7A
Orphanet:97280	Glucagonoma
Orphanet:163934	Atopic keratoconjunctivitis
Orphanet:93328	Autosomal dominant omodysplasia
Orphanet:183707	Neutrophil immunodeficiency syndrome
Orphanet:1795	Peripheral dysostosis
Orphanet:71276	Silent sinus syndrome
Orphanet:1652	Dent disease
Orphanet:551	MERRF
Orphanet:1185	Spinocerebellar ataxia-dysmorphism syndrome
Orphanet:2528	Microcephaly-microcornea syndrome, Seemanova type
Orphanet:2140	Congenital diaphragmatic hernia
Orphanet:1077	Dental ankylosis
Orphanet:369929	Aldosterone-producing adenoma with seizures and neurological abnormalities
Orphanet:248	Autosomal recessive hypohidrotic ectodermal dysplasia
Orphanet:404	Familial hyperaldosteronism type II
Orphanet:800	Schwartz-Jampel syndrome
Orphanet:1055	Fetal left ventricular aneurysm
Orphanet:206484	Gonadoblastoma
Orphanet:2489	Upper limb defect-eye and ear abnormalities syndrome
Orphanet:1816	Ectodermal dysplasia, Berlin type
Orphanet:85276	X-linked intellectual disability, Armfield type
Orphanet:261476	Monosomy Xp21
Orphanet:1766	Dysequilibrium syndrome
Orphanet:2095	Gorlin-Chaudhry-Moss syndrome
Orphanet:54595	Craniopharyngioma
Orphanet:1873	Jalili syndrome
Orphanet:94064	Deafness-infertility syndrome
Orphanet:36367	Distal monosomy 1q
Orphanet:2903	Familial spontaneous pneumothorax
Orphanet:238769	1q44 microdeletion syndrome
Orphanet:764	Pyomyositis
Orphanet:157997	Benign cephalic histiocytosis
Orphanet:1935	Early myoclonic encephalopathy
Orphanet:71493	Familial thrombocytosis
Orphanet:1334	Chronic mucocutaneous candidiasis
Orphanet:2325	Epidermolysis bullosa simplex with anodontia/hypodontia
Orphanet:1328	Camurati-Engelmann disease
Orphanet:91546	Lyme disease
Orphanet:261311	20q13.33 microdeletion syndrome
Orphanet:401945	Moyamoya disease with early-onset achalasia
Orphanet:79456	Diffuse cutaneous mastocytosis
Orphanet:2523	Microcephaly-brain defect-spasticity-hypernatremia syndrome
Orphanet:53693	GRACILE syndrome
Orphanet:35093	Isolated scaphocephaly
Orphanet:199310	Tetragametic chimerism
Orphanet:140	Campomelic dysplasia
Orphanet:97286	Carney-Stratakis syndrome
Orphanet:306498	PTEN hamartoma tumor syndrome
Orphanet:3419	Van Regemorter-Pierquin-Vamos syndrome
Orphanet:99977	Squamous cell carcinoma of esophagus
Orphanet:392	Holt-Oram syndrome
Orphanet:1951	Epilepsy-telangiectasia syndrome
Orphanet:1465	Coffin-Siris syndrome
Orphanet:89842	Recessive dystrophic epidermolysis bullosa-generalized other
Orphanet:93473	Hurler syndrome
Orphanet:285	Ehlers-Danlos syndrome, hypermobility type
Orphanet:2232	Primary hypergonadotropic hypogonadism-partial alopecia syndrome
Orphanet:1777	Temtamy syndrome
Orphanet:95613	Pituitary apoplexy
Orphanet:140976	RHYNS syndrome
Orphanet:35099	Isolated brachycephaly
Orphanet:79242	Holocarboxylase synthetase deficiency
Orphanet:280794	Pseudoxanthomatous diffuse cutaneous mastocytosis
Orphanet:228396	Ptosis-upper ocular movement limitation-absence of lacrimal punctum syndrome
Orphanet:1647	Oculocerebrocutaneous syndrome
Orphanet:59315	Rhombencephalosynapsis
Orphanet:2846	Congenital pericardium anomaly
Orphanet:2010	Cleft palate-stapes fixation-oligodontia syndrome
Orphanet:920	Ablepharon macrostomia syndrome
Orphanet:1389	Cortical blindness-intellectual disability-polydactyly syndrome
Orphanet:921	Abruzzo-Erickson syndrome
Orphanet:168555	Spondylometaphyseal dysplasia, A4 type
Orphanet:2338	Isolated punctate palmoplantar keratoderma
Orphanet:1116	Aplasia cutis congenita-intestinal lymphangiectasia syndrome
Orphanet:46532	Hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome
Orphanet:93357	SPONASTRIME dysplasia
Orphanet:2256	Fibulo-ulnar hypoplasia-renal anomalies syndrome
Orphanet:1818	Ectodermal dysplasia, trichoodontoonychial type
Orphanet:1955	Spinocerebellar ataxia type 34
Orphanet:69063	Congenital membranous nephropathy due to maternal anti-neutral endopeptidase alloimmunization
Orphanet:93259	Pfeiffer syndrome type 2
Orphanet:922	Familial nasal acilia
Orphanet:251909	Pineoblastoma
Orphanet:369950	Intellectual disability-seizures-macrocephaly-obesity syndrome
Orphanet:838	Susac syndrome
Orphanet:75378	Oligocone trichromacy
Orphanet:199299	Late-onset isolated ACTH deficiency
Orphanet:276580	Autosomal dominant hyperinsulinism due to Kir6.2 deficiency
Orphanet:2601	Myopathy-growth delay-intellectual disability-hypospadias syndrome
Orphanet:95429	Angioma serpiginosum
Orphanet:1167	Facial asymmetry-temporal seizures syndrome
Orphanet:363618	LMNA-related cardiocutaneous progeria syndrome
Orphanet:457059	Pseudohypoparathyroidism with Albright hereditary osteodystrophy
Orphanet:1065	Aniridia-cerebellar ataxia-intellectual disability syndrome
Orphanet:2514	Autosomal dominant microcephaly
Orphanet:86918	Diffuse palmoplantar keratoderma-acrocyanosis syndrome
Orphanet:71529	Obesity due to melanocortin 4 receptor deficiency
Orphanet:1352	Atrioventricular defect-blepharophimosis-radial and anal defect syndrome
Orphanet:1208	Pulmonary atresia-intact ventricular septum syndrome
Orphanet:101028	Transaldolase deficiency
Orphanet:94063	12q14 microdeletion syndrome
Orphanet:166272	Odontochondrodysplasia
Orphanet:733	Familial adenomatous polyposis
Orphanet:357154	Oral submucous fibrosis
Orphanet:2148	Lissencephaly type 1 due to doublecortin gene mutation
Orphanet:3353	Trichodermodysplasia-dental alterations syndrome
Orphanet:2196	Familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement
Orphanet:63440	Isolated oxycephaly
Orphanet:1409	Woolly hair-hypotrichosis-everted lower lip-outstanding ears syndrome
Orphanet:231222	Beta-thalassemia intermedia
Orphanet:2048	Foix-Chavany-Marie syndrome
Orphanet:2387	Leukonychia totalis
Orphanet:2897	Pityriasis rubra pilaris
Orphanet:279947	Postorgasmic illness syndrome
Orphanet:85325	X-linked intellectual disability, Stevenson type
Orphanet:2715	Oculorenocerebellar syndrome
Orphanet:3309	Tetrasomy 5p
Orphanet:3268	Radioulnar synostosis-microcephaly-scoliosis syndrome
Orphanet:340	Hemorrhagic fever-renal syndrome
Orphanet:785	Estrogen resistance syndrome
Orphanet:1672	Diencephalic syndrome
Orphanet:90024	Deafness with labyrinthine aplasia, microtia, and microdontia
Orphanet:2549	Oculoauriculovertebral spectrum with radial defects
Orphanet:627	Nance-Horan syndrome
Orphanet:1790	Hypomandibular faciocranial dysostosis
Orphanet:118	Beta-mannosidosis
Orphanet:1336	Hyperkeratosis-hyperpigmentation syndrome
Orphanet:2149	Nodular neuronal heterotopia
Orphanet:70482	Carcinoma of esophagus
Orphanet:157	Carnitine palmitoyltransferase II deficiency
Orphanet:1773	Sacrococcygeal dysgenesis association
Orphanet:85172	Microcephalic osteodysplastic dysplasia, Saul-Wilson type
Orphanet:280356	PLIN1-related familial partial lipodystrophy
Orphanet:1118	Fibular aplasia-ectrodactyly syndrome
Orphanet:52416	Mantle cell lymphoma
Orphanet:3162	Sézary syndrome
Orphanet:83461	Congenital primary aphakia
Orphanet:100008	ACys amyloidosis
Orphanet:88639	Neurodegeneration due to 3-hydroxyisobutyryl-CoA hydrolase deficiency
Orphanet:79129	Trichodysplasia-amelogenesis imperfecta syndrome
Orphanet:79457	Maculopapular cutaneous mastocytosis
Orphanet:3038	Delayed speech-facial asymmetry-strabismus-ear lobe creases syndrome
Orphanet:101075	X-linked Charcot-Marie-Tooth disease type 1
Orphanet:1388	Catel-Manzke syndrome
Orphanet:99803	Haddad syndrome
Orphanet:2935	Crossed polysyndactyly
Orphanet:79373	Ectodermal dysplasia syndrome
Orphanet:1699	Trisomy 12p
Orphanet:454	Acquired ichthyosis
Orphanet:1340	Cardiofaciocutaneous syndrome
Orphanet:2110	Hallux varus-preaxial polysyndactyly syndrome
Orphanet:2787	Osteoporosis-macrocephaly-blindness-joint hyperlaxity syndrome
Orphanet:300493	Sagliker syndrome
Orphanet:85443	AL amyloidosis
Orphanet:2291	Congenital velopharyngeal incompetence
Orphanet:79473	Porphyria variegata
Orphanet:2746	Opsismodysplasia
Orphanet:93476	Hurler-Scheie syndrome
Orphanet:7	3C syndrome
Orphanet:834	Free sialic acid storage disease
Orphanet:91138	Cryoglobulinemic vasculitis
Orphanet:1509	Coxopodopatellar syndrome
Orphanet:2014	Cleft palate
Orphanet:1308	C syndrome
Orphanet:848	Beta-thalassemia
Orphanet:1912	Fetal hydantoin syndrome
Orphanet:2107	Hall-Riggs syndrome
Orphanet:50815	Branchiogenic deafness syndrome
Orphanet:314621	Duplication of the pituitary gland
Orphanet:217266	BNAR syndrome
Orphanet:1764	Familial dysautonomia
Orphanet:2807	Papilloma of choroid plexus
Orphanet:1563	Dahlberg-Borer-Newcomer syndrome
Orphanet:91	Aromatase deficiency
Orphanet:2033	Multifocal muscular fibrosis-obstructed vessels syndrome
Orphanet:221	Dermatomyositis
Orphanet:2891	Pili torti-developmental delay-neurological abnormalities syndrome
Orphanet:79455	Cutaneous mastocytoma
Orphanet:1512	Crane-Heise syndrome
Orphanet:59	Allan-Herndon-Dudley syndrome
Orphanet:521	Chronic myeloid leukemia
Orphanet:93406	Syndactyly type 5
Orphanet:1895	Edinburgh malformation syndrome
Orphanet:85167	Spondylometaphyseal dysplasia-cone-rod dystrophy syndrome
Orphanet:801	Scleroderma
Orphanet:33069	Dravet syndrome
Orphanet:254346	19p13.12 microdeletion syndrome
Orphanet:154	Familial isolated dilated cardiomyopathy
Orphanet:85321	Deafness-intellectual disability syndrome, Martin-Probst type
Orphanet:169095	Alymphoid cystic thymic dysgenesis
Orphanet:435651	CIDEC-related familial partial lipodystrophy
Orphanet:2104	Dysmorphism-pectus carinatum-joint laxity syndrome
Orphanet:100	Ataxia-telangiectasia
Orphanet:1174	Cerebellar ataxia-ectodermal dysplasia syndrome
Orphanet:289	Ellis Van Creveld syndrome
Orphanet:956	Acro-pectoro-renal dysplasia
Orphanet:238446	15q11q13 microduplication syndrome
Orphanet:90301	Acanthosis nigricans-insulin resistance-muscle cramps-acral enlargement syndrome
Orphanet:85282	MEHMO syndrome
Orphanet:60040	Megalencephaly-capillary malformation-polymicrogyria syndrome
Orphanet:1458	CODAS syndrome
Orphanet:228308	Carnitine palmitoyl transferase II deficiency, neonatal form
Orphanet:88643	Obesity-colitis-hypothyroidism-cardiac hypertrophy-developmental delay syndrome
Orphanet:2722	Odonto-onycho dysplasia-alopecia syndrome
Orphanet:2253	Foveal hypoplasia-presenile cataract syndrome
Orphanet:2261	Hypospadias-intellectual disability, Goldblatt type syndrome
Orphanet:99867	Thymoma
Orphanet:2901	Neuralgic amyotrophy
Orphanet:2770	Nasu-Hakola disease
Orphanet:251510	46,XY partial gonadal dysgenesis
Orphanet:1323	Camptodactyly-joint contractures-facial skeletal defects syndrome
Orphanet:1227	Bangstad syndrome
Orphanet:89937	Autosomal dominant hypophosphatemic rickets
Orphanet:85198	Dysspondyloenchondromatosis
Orphanet:85193	Idiopathic juvenile osteoporosis
Orphanet:79099	Interstitial granulomatous dermatitis with arthritis
Orphanet:2792	Otofaciocervical syndrome
Orphanet:100073	Neurogenic thoracic outlet syndrome
Orphanet:72	Angelman syndrome
Orphanet:90363	Secondary intestinal lymphangiectasia
Orphanet:882	Tyrosinemia type 1
Orphanet:1122	Ulnar hypoplasia-split foot syndrome
Orphanet:235	Dubowitz syndrome
Orphanet:66646	Cutaneous mastocytosis
Orphanet:1959	Evans syndrome
Orphanet:570	Moebius syndrome
Orphanet:293355	Methylmalonic acidemia without homocystinuria
Orphanet:228305	Carnitine palmitoyl transferase II deficiency, severe infantile form
Orphanet:1041	Hydrops fetalis
Orphanet:477	KID syndrome
Orphanet:1305	Feingold syndrome
Orphanet:90795	Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency
Orphanet:931	Acheiropodia
Orphanet:1310	Caffey disease
Orphanet:3191	Subaortic stenosis-short stature syndrome
Orphanet:1927	Emery-Nelson syndrome
Orphanet:85320	X-linked intellectual disability-macrocephaly-macroorchidism syndrome
Orphanet:81	Antisynthetase syndrome
Orphanet:2885	Piebald trait-neurologic defects syndrome
Orphanet:1234	Bartsocas-Papas syndrome
Orphanet:567	22q11.2 deletion syndrome
Orphanet:886	Usher syndrome
Orphanet:71267	Dentinogenesis imperfecta-short stature-hearing loss-intellectual disability syndrome
Orphanet:228384	5q14.3 microdeletion syndrome
Orphanet:1909	Indomethacin embryofetopathy
Orphanet:279882	Spasmus nutans
Orphanet:1398	Isolated cerebellar hypoplasia/agenesis
Orphanet:2643	Microcephalic primordial dwarfism, Toriello type
Orphanet:346	Quinquaud's folliculitis decalvans
Orphanet:79395	Keratoderma hereditarium mutilans with ichthyosis
Orphanet:79432	Oculocutaneous albinism type 2
Orphanet:1092	Renal-genital-middle ear anomalies
Orphanet:1457	Aorta coarctation
Orphanet:1342	Heart-hand syndrome type 3
Orphanet:752	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency
Orphanet:2609	Isolated complex I deficiency
Orphanet:91378	Hereditary angioedema
Orphanet:53	Albers-Schönberg osteopetrosis
Orphanet:1376	Congenital cataract-ichthyosis syndrome
Orphanet:2637	Microcephalic osteodysplastic primordial dwarfism type II
Orphanet:1064	Aniridia-renal agenesis-psychomotor retardation syndrome
Orphanet:157788	Hypospadias-hypertelorism-coloboma and deafness syndrome
Orphanet:79312	Vitamin B12-unresponsive methylmalonic acidemia type mut-
Orphanet:79277	Congenital erythropoietic porphyria
Orphanet:261272	17q12 microduplication syndrome
Orphanet:655	Nephronophthisis
Orphanet:97290	Familial papillary thyroid carcinoma with renal papillary neoplasia
Orphanet:1545	Crisponi syndrome
Orphanet:46488	Linear IgA dermatosis
Orphanet:2408	Lowe-Kohn-Cohen syndrome
Orphanet:1659	Dermatoleukodystrophy
Orphanet:820	Sneddon syndrome
Orphanet:3087	Retinohepatoendocrinologic syndrome
Orphanet:171836	Amelogenesis imperfecta-gingival hyperplasia syndrome
Orphanet:1179	Benign paroxysmal tonic upgaze of childhood with ataxia
Orphanet:790	Retinoblastoma
Orphanet:113	Bazex-Dupré-Christol syndrome
Orphanet:1528	Craniotelencephalic dysplasia
Orphanet:738	Porphyria
Orphanet:294	Fetal cytomegalovirus syndrome
Orphanet:268249	Mycophenolate mofetil embryopathy
Orphanet:1667	Wolcott-Rallison syndrome
Orphanet:2286	Solitary median maxillary central incisor syndrome
Orphanet:399805	Male infertility with azoospermia or oligozoospermia due to single gene mutation
Orphanet:90157	Drug-induced localized lipodystrophy
Orphanet:316	Progressive symmetric erythrokeratodermia
Orphanet:1345	Cardiomyopathy-cataract-hip spine disease syndrome
Orphanet:1993	Pai syndrome
Orphanet:101076	X-linked Charcot-Marie-Tooth disease type 2
Orphanet:50814	Craniolenticulosutural dysplasia
Orphanet:612	Potassium-aggravated myotonia
Orphanet:35687	Erdheim-Chester disease
Orphanet:65759	Carpenter syndrome
Orphanet:2732	Olivopontocerebellar atrophy-deafness syndrome
Orphanet:1437	Ring chromosome 1
Orphanet:35656	Coenzyme Q10 deficiency
Orphanet:1429	Benign familial chorea
Orphanet:3230	Deafness-oligodontia syndrome
Orphanet:2318	Joubert syndrome with oculorenal defect
Orphanet:511	Maple syrup urine disease
Orphanet:897	Waardenburg-Shah syndrome
Orphanet:261519	Maternal uniparental disomy of chromosome X
Orphanet:3347	Mounier-Kühn syndrome
Orphanet:1555	Cutis gyrata-acanthosis nigricans-craniosynostosis syndrome
Orphanet:354	GM1 gangliosidosis
Orphanet:97279	Insulinoma
Orphanet:1031	Amelogenesis imperfecta-nephrocalcinosis syndrome
Orphanet:90354	Brittle cornea syndrome
Orphanet:595	Centronuclear myopathy
Orphanet:773	Refsum disease
Orphanet:85162	Facial onset sensory and motor neuronopathy
