hp_code	hp_term	mesh_code	mesh_term
HP:0000107	Renal cyst	NA	NA
HP:0009892	Anotia	NA	NA
HP:0001786	Narrow foot	NA	NA
HP:0002000	Short columella	NA	NA
HP:0002564	Malformation of the heart and great vessels	NA	NA
HP:0000163	Abnormality of the oral cavity	NA	NA
HP:0000474	Thickened nuchal skin fold	NA	NA
HP:0007159	Fluctuations in consciousness	NA	NA
HP:0001055	Erysipelas	NA	NA
HP:0001783	Broad metatarsal	NA	NA
HP:0007190	Neuronal loss in the cerebral cortex	NA	NA
HP:0005505	Refractory anemia	D000753	Refractory Anemias
HP:0009780	Iliac horns	NA	NA
HP:0010327	Flexion contracture of the 2nd toe	NA	NA
HP:0100867	Duodenal stenosis	NA	NA
HP:0000570	Abnormality of saccadic eye movements	NA	NA
HP:0002669	Osteosarcoma	D012516	Osteosarcoma Tumors
HP:0009684	Stippling of the epiphysis of the distal phalanx of the thumb	NA	NA
HP:0012411	Premature pubarche	NA	NA
HP:0012819	Myocarditis	NA	NA
HP:0002293	Alopecia of scalp	NA	NA
HP:0001080	Biliary tract abnormality	NA	NA
HP:0002063	Rigidity	NA	NA
HP:0000829	Hypoparathyroidism	NA	NA
HP:0012107	Increased fibular diameter	NA	NA
HP:0004443	Lambdoidal craniosynostosis	NA	NA
HP:0009796	Branchial cyst	D001935	Cysts, Branchial Cleft
HP:0000873	Diabetes insipidus	D003919	Diabetes Insipidus
HP:0003141	Hyperbetalipoproteinemia	NA	NA
HP:0000565	Esotropia	NA	NA
HP:0012126	Stomach cancer	NA	NA
HP:0000848	Increased circulating renin level	NA	NA
HP:0000938	Osteopenia	NA	NA
HP:0003278	Square pelvis	NA	NA
HP:0003752	Episodic flaccid weakness	NA	NA
HP:0007165	Periventricular gray matter heterotopia	NA	NA
HP:0001820	Leukonychia	NA	NA
HP:0006844	Absent patellar reflexes	NA	NA
HP:0100301	Muscle fiber tubular inclusions	NA	NA
HP:0000085	Horseshoe kidney	NA	NA
HP:0001181	Adducted thumb	NA	NA
HP:0009944	Partial duplication of thumb phalanx	NA	NA
HP:0002793	Abnormal pattern of respiration	NA	NA
HP:0004487	Acrobrachycephaly	NA	NA
HP:0000535	Sparse eyebrow	NA	NA
HP:0011596	Left aortic arch with right descending aorta and right ductus arteriosus	NA	NA
HP:0000073	Ureteral duplication	NA	NA
HP:0005306	Capillary hemangiomas	NA	NA
HP:0030609	Photoreceptor layer loss on macular OCT	NA	NA
HP:0001355	Megalencephaly	D058627	Megalocephalies
HP:0008665	Clitoral hypertrophy	NA	NA
HP:0008572	External ear malformation	NA	NA
HP:0012480	Abnormality of cerebral veins	NA	NA
HP:0100587	Abnormality of the preputium	NA	NA
HP:0002311	Incoordination	NA	NA
HP:0002591	Polyphagia	NA	NA
HP:0000452	Choanal stenosis	NA	NA
HP:0002123	Generalized myoclonic seizures	NA	NA
HP:0002850	IgM deficiency	NA	NA
HP:0003438	Absent Achilles reflex	NA	NA
HP:0012751	Abnormal basal ganglia MRI signal intensity	NA	NA
HP:0011343	Moderate global developmental delay	NA	NA
HP:0012410	Pure red cell aplasia	D012010	Aplasia, Erythrocyte
HP:0000632	Lacrimation abnormality	NA	NA
HP:0100653	Optic neuritis	NA	NA
HP:0005121	Posterior scalloping of vertebral bodies	NA	NA
HP:0005716	Lethal skeletal dysplasia	NA	NA
HP:0030071	Medulloepithelioma	NA	NA
HP:0002582	Chronic atrophic gastritis	D005757	Atrophic Gastritis
HP:0000086	Ectopic kidney	NA	NA
HP:0001756	Vestibular hypofunction	NA	NA
HP:0006495	Aplasia/Hypoplasia of the ulna	NA	NA
HP:0000021	Megacystis	NA	NA
HP:0004324	Increased body weight	D015430	Gain, Weight
HP:0000408	Progressive sensorineural hearing impairment	NA	NA
HP:0040084	Abnormal circulating renin	NA	NA
HP:0008551	Microtia	NA	NA
HP:0100371	Aplasia/Hypoplasia of the distal phalanx of the 5th toe	NA	NA
HP:0002637	Cerebral ischemia	NA	NA
HP:0001501	6 metacarpals	NA	NA
HP:0002366	Abnormal lower motor neuron morphology	NA	NA
HP:0010669	Cheekbone underdevelopment	NA	NA
HP:0010649	Flat nasal alae	NA	NA
HP:0005558	Chronic leukemia	NA	NA
HP:0011985	Acholic stools	NA	NA
HP:0000089	Renal hypoplasia	NA	NA
HP:0009729	Cardiac rhabdomyoma	NA	NA
HP:0007717	Chronic irritative conjunctivitis	NA	NA
HP:0001013	Eruptive xanthomas	NA	NA
HP:0012158	Carotid artery dissection	NA	NA
HP:0003982	Absent ulna	NA	NA
HP:0011763	Pituitary carcinoma	NA	NA
HP:0000433	Abnormality of the nasal mucosa	NA	NA
HP:0002218	Silver-gray hair	NA	NA
HP:0007178	Motor polyneuropathy	NA	NA
HP:0005994	Nodular goiter	D006044	Nodular Goiters
HP:0001167	Abnormality of finger	NA	NA
HP:0011703	Sinus tachycardia	D013616	Tachycardias, Sinus
HP:0000385	Small earlobe	NA	NA
HP:0008358	Hyperprolinemia	NA	NA
HP:0000358	Posteriorly rotated ears	NA	NA
HP:0030019	Increased female libido	NA	NA
HP:0002524	Cataplexy	NA	NA
HP:0000749	Paroxysmal bursts of laughter	NA	NA
HP:0011509	Macular hyperpigmentation	NA	NA
HP:0003413	Atlantoaxial abnormality	NA	NA
HP:0001639	Hypertrophic cardiomyopathy	D002312	Hypertrophic Obstructive Cardiomyopathy
HP:0006172	Flattened, squared-off epiphyses of tubular bones	NA	NA
HP:0003100	Slender long bone	NA	NA
HP:0004860	Thiamine-responsive megaloblastic anemia	NA	NA
HP:0001701	Pericarditis	NA	NA
HP:0030348	Increased circulating androgen level	NA	NA
HP:0012447	Abnormal myelination	NA	NA
HP:0005181	Premature coronary artery disease	NA	NA
HP:0003694	Late-onset proximal muscle weakness	NA	NA
HP:0001919	Acute kidney injury	NA	NA
HP:0009618	Abnormality of the proximal phalanx of the thumb	NA	NA
HP:0001911	Abnormality of granulocytes	NA	NA
HP:0002027	Abdominal pain	NA	NA
HP:0005914	Aplasia/Hypoplasia involving the metacarpal bones	NA	NA
HP:0012377	Hemianopsia	NA	NA
HP:0000157	Abnormality of the tongue	NA	NA
HP:0004303	Abnormality of muscle fibers	NA	NA
HP:0001403	Macrovesicular hepatic steatosis	NA	NA
HP:0002023	Anal atresia	D001006	Atresias, Anal
HP:0010576	Intracranial cystic lesion	NA	NA
HP:0010296	Ankyloglossia	C562396	Ankyloglossia
HP:0007449	Confetti-like hypopigmented macules	NA	NA
HP:0000667	Phthisis bulbi	NA	NA
HP:0000559	Corneal scarring	NA	NA
HP:0012472	Eclabion	NA	NA
HP:0001396	Cholestasis	D002779	Stasis, Biliary
HP:0009737	Lisch nodules	NA	NA
HP:0007744	Iridoretinal coloboma	NA	NA
HP:0002805	Accelerated bone age after puberty	NA	NA
HP:0003950	Flared metaphyses (elbow)	NA	NA
HP:3000042	Abnormality of jugular vein	NA	NA
HP:0001909	Leukemia	D007938	Leucocythemias
HP:0001892	Abnormal bleeding	NA	NA
HP:0004554	Generalized hypertrichosis	NA	NA
HP:0000692	Misalignment of teeth	NA	NA
HP:0008850	Severe postnatal growth retardation	NA	NA
HP:0005446	Obtuse angle of mandible	NA	NA
HP:0200056	Macular scarring	NA	NA
HP:0009715	Papillary cystadenoma of the epididymis	NA	NA
HP:0003943	Abnormality of the joint spaces of the elbow	NA	NA
HP:0003909	Cortical subperiosteal resorption of humeral metaphyses	NA	NA
HP:0007807	Optic nerve compression	NA	NA
HP:0010280	Stomatitis	NA	NA
HP:0001137	Alternating esotropia	NA	NA
HP:0005109	Abnormality of the Achilles tendon	NA	NA
HP:0002174	Postural tremor	NA	NA
HP:0000685	Hypoplasia of teeth	NA	NA
HP:0011565	Common atrium	NA	NA
HP:0005867	Fused fourth and fifth metacarpals	NA	NA
HP:0002226	White eyebrow	NA	NA
HP:0009934	Supernumerary naris	NA	NA
HP:0004947	Arteriovenous fistula	NA	NA
HP:0001602	Laryngeal stenosis	NA	NA
HP:0002225	Sparse pubic hair	NA	NA
HP:0002961	Dysgammaglobulinemia	D004406	Dysgammaglobulinemias
HP:0012746	Thin toenail	NA	NA
HP:0010886	Osteochondrosis dissecans	D010008	Dissecans, Osteochondritis
HP:0009933	Narrow naris	NA	NA
HP:0011800	Midface retrusion	NA	NA
HP:0003458	EMG: myopathic abnormalities	NA	NA
HP:0010526	Dysgraphia	NA	NA
HP:0003487	Babinski sign	NA	NA
HP:0002552	Trichodysplasia	NA	NA
HP:0030018	Decreased female libido	NA	NA
HP:0004232	Accessory carpal bones	NA	NA
HP:0001528	Hemihypertrophy	NA	NA
HP:0001537	Umbilical hernia	NA	NA
HP:0009118	Aplasia/Hypoplasia of the mandible	NA	NA
HP:0002334	Abnormality of the cerebellar vermis	NA	NA
HP:0011314	Abnormality of long bone morphology	NA	NA
HP:0000206	Glossitis	D005928	Glossitides
HP:0100851	Abnormal emotion/affect behavior	NA	NA
HP:0100820	Glomerulopathy	NA	NA
HP:0001498	Carpal bone hypoplasia	NA	NA
HP:0001592	Selective tooth agenesis	NA	NA
HP:0000789	Infertility	NA	NA
HP:0010026	Aplasia/Hypoplasia of the 1st metacarpal	NA	NA
HP:0002754	Osteomyelitis	D010019	Osteomyelitides
HP:0007650	Progressive ophthalmoplegia	NA	NA
HP:0009821	Forearm undergrowth	NA	NA
HP:0006510	Chronic obstructive pulmonary disease	NA	NA
HP:0002861	Melanoma	D008545	Melanomas, Malignant
HP:0002837	Recurrent bronchitis	NA	NA
HP:0007833	Anterior chamber synechiae	NA	NA
HP:0002047	Malignant hyperthermia	D008305	Related Hyperthermia, Anesthesia
HP:0000025	Functional abnormality of male internal genitalia	NA	NA
HP:0007401	Noninflammatory macular atrophy	NA	NA
HP:0002475	Myelomeningocele	NA	NA
HP:0000212	Gingival overgrowth	NA	NA
HP:0011330	Metopic synostosis	NA	NA
HP:0003199	Decreased muscle mass	NA	NA
HP:0000057	Clitoromegaly	NA	NA
HP:0100633	Esophagitis	D004941	Esophagitides
HP:0012019	Lens luxation	NA	NA
HP:0100243	Leiomyosarcoma	NA	NA
HP:0010185	Aplasia/Hypoplasia of the distal phalanges of the toes	NA	NA
HP:0002321	Vertigo	NA	NA
HP:0009835	Aplasia/Hypoplasia of the distal phalanges of the hand	NA	NA
HP:0008830	Hypoplastic pubic rami	NA	NA
HP:0007875	Congenital blindness	NA	NA
HP:0000267	Cranial asymmetry	NA	NA
HP:0000529	Progressive visual loss	NA	NA
HP:0012369	Malar anomaly	NA	NA
HP:0009832	Abnormality of the distal phalanx of finger	NA	NA
HP:0010293	Aplasia/Hypoplasia of the uvula	NA	NA
HP:0001367	Abnormal joint morphology	NA	NA
HP:0008291	Pituitary corticotropic cell adenoma	D049913	Adenomas, Corticotroph
HP:0002202	Pleural effusion	D010996	Pleural Effusions
HP:0001123	Visual field defect	NA	NA
HP:0004437	Cranial hyperostosis	NA	NA
HP:0005772	Aplasia/Hypoplasia of the tibia	NA	NA
HP:0007676	Hypoplasia of the iris	NA	NA
HP:0001699	Sudden death	D003645	Sudden Death
HP:0006934	Congenital nystagmus	D020417	Nystagmus, Congenital
HP:0011790	Activating thyroid-stimulating hormone receptor (TSHR) defect	NA	NA
HP:0008282	Unconjugated hyperbilirubinemia	NA	NA
HP:0012115	Hepatitis	D006505	Hepatitides
HP:0009145	Abnormality of cerebral artery	NA	NA
HP:0004326	Cachexia	D002100	Cachexia
HP:0005961	Hypoargininemia	NA	NA
HP:0008386	Aplasia/Hypoplasia of the nails	NA	NA
HP:0000222	Gingival hyperkeratosis	NA	NA
HP:0011038	Abnormality of renal resorption	NA	NA
HP:0006160	Irregular metacarpals	NA	NA
HP:0003761	Calcinosis	NA	NA
HP:0010322	Abnormality of the 5th toe	NA	NA
HP:0004792	Rectoperineal fistula	NA	NA
HP:0002825	Caudal appendage	NA	NA
HP:0002339	Abnormality of the caudate nucleus	NA	NA
HP:0005365	Severe B lymphocytopenia	NA	NA
HP:0002574	Episodic abdominal pain	NA	NA
HP:0004349	Reduced bone mineral density	NA	NA
HP:0002720	IgA deficiency	D017098	IgA Deficiencies
HP:0100288	EMG: myokymic discharges	NA	NA
HP:0012535	Abnormal synaptic transmission	NA	NA
HP:0000647	Sclerocornea	C565209	Sclerocornea
HP:0002167	Neurological speech impairment	NA	NA
HP:0002133	Status epilepticus	NA	NA
HP:0000490	Deeply set eye	NA	NA
HP:0005957	Breathing dysregulation	NA	NA
HP:0003701	Proximal muscle weakness	NA	NA
HP:0004724	Calcium nephrolithiasis	NA	NA
HP:0004417	Intermittent claudication	D007383	Claudication, Intermittent
HP:0000446	Narrow nasal bridge	NA	NA
HP:0004452	Abnormality of the middle ear ossicles	NA	NA
HP:0010316	Ebstein's anomaly of the tricuspid valve	NA	NA
HP:0003690	Limb muscle weakness	NA	NA
HP:0100539	Periorbital edema	NA	NA
HP:0002948	Vertebral fusion	NA	NA
HP:0011531	Vitritis	NA	NA
HP:0000492	Abnormality of the eyelid	NA	NA
HP:0010579	Cone-shaped epiphysis	NA	NA
HP:0200041	Skin erosion	NA	NA
HP:0004446	Stomatocytosis	NA	NA
HP:0000666	Horizontal nystagmus	NA	NA
HP:0002414	Spina bifida	NA	NA
HP:0003128	Lactic acidosis	NA	NA
HP:0010477	Aplasia of the bladder	NA	NA
HP:0000458	Anosmia	NA	NA
HP:0007112	Temporal cortical atrophy	NA	NA
HP:0002109	Abnormality of the bronchi	NA	NA
HP:0005242	Extrahepatic biliary duct atresia	NA	NA
HP:0004928	Peripheral arterial stenosis	NA	NA
HP:0004493	Craniofacial hyperostosis	NA	NA
HP:0002408	Cerebral arteriovenous malformation	NA	NA
HP:0012726	Episodic hypokalemia	NA	NA
HP:0001804	Hypoplastic fingernail	NA	NA
HP:0003022	Hypoplasia of the ulna	NA	NA
HP:0001655	Patent foramen ovale	D054092	Oval Foramen, Patent
HP:0011904	Persistence of hemoglobin F	NA	NA
HP:0012731	Ectopic anterior pituitary gland	NA	NA
HP:0010309	Bifid sternum	NA	NA
HP:0001096	Keratoconjunctivitis	D007637	Keratoconjunctivitides
HP:0100697	Neurofibrosarcoma	NA	NA
HP:0000114	Proximal tubulopathy	NA	NA
HP:0007207	Photosensitive tonic-clonic seizures	NA	NA
HP:0012197	Insulinoma	D007340	beta-Cell Adenoma
HP:0004394	Multiple gastric polyps	C562464	Polyposis, Gastric
HP:0001684	Secundum atrial septal defect	NA	NA
HP:0012312	Monocytopenia	NA	NA
HP:0002657	Spondylometaphyseal dysplasia	C537501	Strudwick syndrome
HP:0002011	Morphological abnormality of the central nervous system	NA	NA
HP:0011744	Secondary hypercorticolism	NA	NA
HP:0002185	Neurofibrillary tangles	D016874	Neurofibrillary Tangle
HP:0004418	Thrombophlebitis	NA	NA
HP:0000220	Velopharyngeal insufficiency	D014681	Incompetence, Velopharyngeal
HP:0010553	Oculogyric crisis	NA	NA
HP:0001394	Cirrhosis	NA	NA
HP:0001970	Tubulointerstitial nephritis	NA	NA
HP:0007495	Prematurely aged appearance	NA	NA
HP:0003781	Excessive salivation	NA	NA
HP:0011339	Abnormality of upper lip vermillion	NA	NA
HP:0002570	Steatorrhea	D045602	Steatorrhea
HP:0001141	Severe visual impairment	NA	NA
HP:0004970	Ascending aortic dilation	NA	NA
HP:0001897	Normocytic anemia	NA	NA
HP:0002253	Colonic diverticulosis	NA	NA
HP:0004971	Pulmonary artery hypoplasia	NA	NA
HP:0200146	Cystic medial necrosis of the aorta	C536230	Cystic medial necrosis of aorta
HP:0012733	Macule	NA	NA
HP:0009185	Contracture of the proximal interphalangeal joint of the 5th finger	NA	NA
HP:0008028	Cystoid macular degeneration	NA	NA
HP:0000857	Neonatal insulin-dependent diabetes mellitus	NA	NA
HP:0011560	Mitral atresia	NA	NA
HP:0003177	Squared iliac bones	NA	NA
HP:0012722	Heart block	NA	NA
HP:0002885	Medulloblastoma	NA	NA
HP:0100733	Neoplasm of the parathyroid gland	NA	NA
HP:0001139	Choroideremia	D015794	Progressive Tapetochoroidal Dystrophies
HP:0003363	Abdominal situs inversus	D012857	Inversus, Situs
HP:0100644	Melanonychia	NA	NA
HP:0007773	Vitreoretinopathy	NA	NA
HP:0005295	Pseudocoarctation of the aorta	NA	NA
HP:0010882	Pulmonary valve atresia	D018633	Valve Atresias, Pulmonary
HP:0001561	Polyhydramnios	D006831	Polyhydramnios
HP:0003248	Gonadal tissue inappropriate for external genitalia or chromosomal sex	NA	NA
HP:0010514	Hyperpituitarism	NA	NA
HP:0006501	Aplasia/Hypoplasia of the radius	NA	NA
HP:0030530	Arcuate scotoma	NA	NA
HP:0012172	Stereotypical body rocking	NA	NA
HP:0007763	Retinal telangiectasia	NA	NA
HP:0000182	Movement abnormality of the tongue	NA	NA
HP:0003493	Antinuclear antibody positivity	NA	NA
HP:0001836	Camptodactyly of toe	NA	NA
HP:0001136	Retinal arteriolar tortuosity	NA	NA
HP:0100613	Death in early adulthood	NA	NA
HP:0030200	Fatiguable weakness of proximal limb muscles	NA	NA
HP:0009888	Abnormality of secondary sexual hair	NA	NA
HP:0004312	Abnormality of reticulocytes	NA	NA
HP:0100036	Pseudo-fractures	NA	NA
HP:0007489	Diffuse telangiectasia	NA	NA
HP:0011838	Sclerodactyly	NA	NA
HP:0007057	Poor hand-eye coordination	NA	NA
HP:0006515	Interstitial pneumonitis	NA	NA
HP:0005017	Polyarticular chondrocalcinosis	NA	NA
HP:0000635	Blue irides	NA	NA
HP:0001152	Saccadic smooth pursuit	NA	NA
HP:0008494	Inferior lens subluxation	NA	NA
HP:0010939	Abnormality of the nasal bone	NA	NA
HP:0030521	Bitemporal hemianopia	NA	NA
HP:0009718	Subependymal giant-cell astrocytoma	NA	NA
HP:0001088	Brushfield spots	NA	NA
HP:0000808	Penoscrotal hypospadias	NA	NA
HP:0000709	Psychosis	NA	NA
HP:0003179	Protrusio acetabuli	NA	NA
HP:0009077	Weakness of long finger extensor muscles	NA	NA
HP:0100684	Salivary gland neoplasm	NA	NA
HP:0010622	Neoplasm of the skeletal system	NA	NA
HP:0008236	Isosexual precocious puberty	NA	NA
HP:0100528	Pleuropulmonary blastoma	C537516	Pleuropulmonary blastoma
HP:0009602	Abnormality of thumb phalanx	NA	NA
HP:0005009	Dumbbell-shaped humerus	NA	NA
HP:0002119	Ventriculomegaly	NA	NA
HP:0007153	Progressive extrapyramidal movement disorder	NA	NA
HP:0004570	Increased vertebral height	NA	NA
HP:0007371	Corpus callosum atrophy	NA	NA
HP:0007902	Vitreous hemorrhage	D014823	Vitreous Hemorrhages
HP:0002664	Neoplasm	NA	NA
HP:0000541	Retinal detachment	NA	NA
HP:0011122	Abnormality of skin physiology	NA	NA
HP:0002619	Varicose veins	D014648	Varicose Vein
HP:0002804	Arthrogryposis multiplex congenita	D001176	Congenital Multiple Arthrogryposes
HP:0010849	EEG with spike-wave complexes (&gt;3.5 Hz)	NA	NA
HP:0008399	Circumungual hyperkeratosis	NA	NA
HP:0010461	Abnormality of the male genitalia	NA	NA
HP:0005584	Renal cell carcinoma	NA	NA
HP:0008247	Euthyroid hyperthyroxinemia	NA	NA
HP:0030895	Abnormal gastrointestinal motility	NA	NA
HP:0012064	Unicameral bone cyst	NA	NA
HP:0012330	Pyelonephritis	NA	NA
HP:0008227	Pituitary resistance to thyroid hormone	NA	NA
HP:0011785	Thyrotoxicosis with toxic multinodular goitre	NA	NA
HP:0001903	Anemia	NA	NA
HP:0001985	Hypoketotic hypoglycemia	NA	NA
HP:0001882	Leukopenia	D007970	Leukocytopenias
HP:0000834	Abnormality of the adrenal glands	NA	NA
HP:0002333	Motor deterioration	NA	NA
HP:0005296	Occlusive vascular disease	NA	NA
HP:0100033	Tics	NA	NA
HP:0010044	Short 4th metacarpal	NA	NA
HP:0004802	Episodic hemolytic anemia	NA	NA
HP:0011998	Postprandial hyperglycemia	NA	NA
HP:0011473	Villous atrophy	NA	NA
HP:0007380	Facial telangiectasia	NA	NA
HP:0100801	Pancreatic aplasia	NA	NA
HP:0000286	Epicanthus	NA	NA
HP:0100825	Cheilitis	D002613	Cheilitides
HP:0000366	Abnormality of the nose	NA	NA
HP:0030164	Jaw claudication	NA	NA
HP:0000230	Gingivitis	D005891	Gingivitides
HP:0005249	Functional intestinal obstruction	NA	NA
HP:0003502	Mild short stature	NA	NA
HP:0000952	Jaundice	NA	NA
HP:0000421	Epistaxis	D004844	Nasal Bleedings
HP:0000169	Gingival fibromatosis	D005351	Gingival Fibromatoses
HP:0002039	Anorexia	D000855	Anorexias
HP:0005273	Absent nasal septal cartilage	NA	NA
HP:0004341	Abnormality of vitamin B12 metabolism	NA	NA
HP:0009121	Abnormal axial skeleton morphology	NA	NA
HP:0001116	Macular coloboma	C535968	Hereditary macular coloboma
HP:0002753	Thin bony cortex	NA	NA
HP:0000159	Abnormality of the lip	NA	NA
HP:0003498	Disproportionate short stature	NA	NA
HP:0010626	Anterior pituitary agenesis	NA	NA
HP:0002656	Epiphyseal dysplasia	NA	NA
HP:0001539	Omphalocele	NA	NA
HP:0011779	Anaplastic thyroid carcinoma	D065646	Anaplastic Thyroid Carcinoma
HP:0008422	Vertebral wedging	NA	NA
HP:0010442	Polydactyly	D017689	Polydactylisms
HP:0008716	Urethrovaginal fistula	NA	NA
HP:0002631	Ascending aortic aneurysm	NA	NA
HP:0001335	Bimanual synkinesia	NA	NA
HP:0004319	Hypoaldosteronism	NA	NA
HP:0100898	Connective tissue nevi	C562737	Connective Tissue Nevus
HP:0002363	Abnormality of brainstem morphology	NA	NA
HP:0011079	Impacted tooth	D014095	Impacted Tooth
HP:0002043	Esophageal stricture	D004940	Stricture, Esophageal
HP:0006434	Hypoplasia of proximal radius	NA	NA
HP:0003187	Breast hypoplasia	NA	NA
HP:0012899	Handgrip myotonia	NA	NA
HP:0002621	Atherosclerosis	NA	NA
HP:0012074	Tonic pupil	NA	NA
HP:0010851	EEG with burst suppression	NA	NA
HP:0007461	Hemangiomatosis	NA	NA
HP:0006693	Myocardial steatosis	NA	NA
HP:0000119	Abnormality of the genitourinary system	NA	NA
HP:0011840	Abnormality of T cell physiology	NA	NA
HP:0001015	Prominent superficial veins	NA	NA
HP:0005927	Aplasia/hypoplasia involving bones of the hand	NA	NA
HP:0004782	Hypotrichosis of the scalp	NA	NA
HP:0002642	Arteriovenous fistulas of celiac and mesenteric vessels	NA	NA
HP:0002313	Spastic paraparesis	D020336	Spastic Parapareses
HP:0005401	Recurrent candida infections	NA	NA
HP:0012061	Urinary excretion of sialylated oligosaccharides	NA	NA
HP:0002176	Spinal cord compression	NA	NA
HP:0008322	Abnormal mitochondrial morphology	NA	NA
HP:0002103	Abnormality of the pleura	NA	NA
HP:0007720	Flat cornea	NA	NA
HP:0000568	Microphthalmia	D008850	Microphthalmos
HP:0003026	Short long bone	NA	NA
HP:0000149	Ovarian gonadoblastoma	NA	NA
HP:0000508	Ptosis	D001763	Ptoses, Eyelid
HP:0000008	Abnormality of female internal genitalia	NA	NA
HP:0001488	Bilateral ptosis	NA	NA
HP:0001829	Foot polydactyly	NA	NA
HP:0008559	Hypoplastic superior helix	NA	NA
HP:0001410	Decreased liver function	NA	NA
HP:0008256	Adrenocortical adenoma	NA	NA
HP:0001923	Reticulocytosis	D045262	Reticulocytoses
HP:0005301	Persistent left superior vena cava	NA	NA
HP:0002828	Multiple joint contractures	NA	NA
HP:0001578	Hypercortisolism	NA	NA
HP:0009555	Hypoplasia of the pharynx	NA	NA
HP:0005364	Severe viral infections	NA	NA
HP:0009927	Aplasia of the nose	C537438	Arrhinia
HP:0100764	Lymphangioma	NA	NA
HP:0002213	Fine hair	NA	NA
HP:0000455	Broad nasal tip	NA	NA
HP:0100556	Hemiatrophy	NA	NA
HP:0000598	Abnormality of the ear	NA	NA
HP:0008818	Large iliac wings	NA	NA
HP:0000763	Sensory neuropathy	NA	NA
HP:0002942	Thoracic kyphosis	NA	NA
HP:0006846	Acute encephalopathy	NA	NA
HP:0009806	Nephrogenic diabetes insipidus	NA	NA
HP:0000399	Prelingual sensorineural hearing impairment	NA	NA
HP:0000235	Abnormality of the fontanelles or cranial sutures	NA	NA
HP:0001018	Abnormal palmar dermatoglyphics	NA	NA
HP:0000341	Narrow forehead	NA	NA
HP:0010318	Aplasia/Hypoplasia of the abdominal wall musculature	NA	NA
HP:0011499	Mydriasis	D015878	Mydriasis
HP:0007470	Periarticular subcutaneous nodules	NA	NA
HP:0000545	Myopia	D009216	Nearsightednesses
HP:0002017	Nausea and vomiting	NA	NA
HP:0001810	Dystrophic toenail	NA	NA
HP:0011483	Anterior synechiae of the anterior chamber	NA	NA
HP:0200119	Acute hepatitis	NA	NA
HP:0004423	Cranium bifidum occultum	C566826	Parietal Foramina
HP:0010885	Aseptic necrosis	NA	NA
HP:0006913	Frontal cortical atrophy	NA	NA
HP:0100776	Recurrent pharyngitis	NA	NA
HP:0006725	Pancreatic adenocarcinoma	NA	NA
HP:0011356	Regional abnormality of skin	NA	NA
HP:0012167	Hair-pulling	D014256	Trichotillomanias
HP:0100579	Mucosal telangiectasiae	NA	NA
HP:0002967	Cubitus valgus	NA	NA
HP:0000475	Broad neck	NA	NA
HP:0006248	Limited wrist movement	NA	NA
HP:0011802	Hamartoma of tongue	NA	NA
HP:0002584	Intestinal bleeding	NA	NA
HP:0001269	Hemiparesis	NA	NA
HP:0000381	Stapes ankylosis	NA	NA
HP:0011706	Second degree atrioventricular block	NA	NA
HP:0000907	Anterior rib cupping	NA	NA
HP:0000022	Abnormality of male internal genitalia	NA	NA
HP:0001621	Weak voice	NA	NA
HP:0007375	Abnormality of the septum pellucidum	NA	NA
HP:0001289	Confusion	NA	NA
HP:0007281	Developmental stagnation	NA	NA
HP:0010535	Sleep apnea	NA	NA
HP:0001031	Subcutaneous lipoma	NA	NA
HP:0001765	Hammertoe	NA	NA
HP:0009928	Thick nasal alae	NA	NA
HP:0003510	Severe short stature	D004392	Dwarfism
HP:0007800	Increased axial globe length	NA	NA
HP:0000593	Abnormality of the anterior chamber	NA	NA
HP:0100590	Rectal fistula	NA	NA
HP:0006887	Intellectual disability, progressive	NA	NA
HP:0002705	High, narrow palate	NA	NA
HP:0010819	Atonic seizures	NA	NA
HP:0012028	Hepatocellular adenoma	D018248	Liver Cell Adenoma
HP:0009092	Progressive alveolar ridge hypertropy	NA	NA
HP:0012371	Midface prominence	NA	NA
HP:0045040	Abnormal lactate dehydrogenase activity	NA	NA
HP:0000002	Abnormality of body height	NA	NA
HP:0000557	Buphthalmos	D006871	Hydrophthalmos
HP:0100255	Metaphyseal dysplasia	C536252	Pyle disease
HP:0001952	Abnormal glucose tolerance	NA	NA
HP:0200036	Skin nodule	NA	NA
HP:0003186	Inverted nipples	NA	NA
HP:0008770	Obsessive-compulsive trait	NA	NA
HP:0000013	Hypoplasia of the uterus	NA	NA
HP:0005681	Juvenile rheumatoid arthritis	NA	NA
HP:0001102	Angioid streaks of the retina	D000793	Streaks, Angioid
HP:0001658	Myocardial infarction	D009203	Heart Attacks
HP:0002322	Resting tremor	NA	NA
HP:0003003	Colon cancer	NA	NA
HP:0100569	Abnormal vertebral ossification	NA	NA
HP:0002141	Gait imbalance	NA	NA
HP:0012384	Rhinitis	D012220	Catarrhs, Nasal
HP:0100518	Dysuria	D053159	Dysuria
HP:0003193	Allergic rhinitis	D065631	Allergic Rhinitides
HP:0002756	Pathologic fracture	D005598	Fracture, Spontaneous
HP:0002615	Hypotension	D007022	Hypotension
HP:0009988	Duplication of the distal phalanx of the 5th finger	NA	NA
HP:0001850	Abnormality of the tarsal bones	NA	NA
HP:0010679	Elevated tissue non-specific alkaline phosphatase	NA	NA
HP:0100833	Neoplasm of the small intestine	NA	NA
HP:0012189	Hodgkin lymphoma	NA	NA
HP:0000068	Urethral atresia	NA	NA
